sequence,system,ap_50,ap_50_95,avg_precision,avg_recall,total_gt,total_preds,total_tp,total_fp,total_fn,infer_count,skip_count,skip_rate_pct,erd_empty_count,predict_count,erd_empty_rate_pct,predict_rate_pct,erd_infer_count,erd_infer_rate_pct,augmented_infer_count,augmented_infer_rate_pct,pure_infer_count,pure_infer_rate_pct,wall_duration_s,avg_frame_time_ms,avg_power_w,max_power_w,energy_j,avg_power_gpu_w,energy_gpu_j,avg_power_cpu_w,energy_cpu_j,avg_power_io_w,energy_io_j,avg_gpu_temp_c,max_gpu_temp_c,avg_cpu_temp_c,max_cpu_temp_c,max_tj_temp_c,avg_gpu_util_pct,avg_cpu_util_pct,avg_emc_util_pct,avg_ram_used_mb,max_ram_used_mb,n_tegrastats_samples
b1c66a42-6f7d68ca,Vanilla,0.644988762005579,0.4888792334243619,0.9933439469444799,0.33383424293304864,2612,1763,1695,68,917,202,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,202,100.0,23.7,111.823,18.785,21.958,439.11,9.876,231.79,2.438,56.61,6.47,150.71,54.9,56.7,57.3,57.8,57.8,43.9,8.1,9.7,4450.0,4466,193
b1c66a42-6f7d68ca,Adaptive,0.6453808619242374,0.44705453972678316,0.9717393900983102,0.36609720271031504,2612,2009,1719,290,893,183,19,9.41,0,19,0.0,9.41,1,0.5,133,65.84,49,24.26,19.82,92.446,20.447,21.858,403.31,10.288,203.16,3.603,70.86,6.556,129.29,54.7,55.8,57.4,59.2,59.2,40.8,22.9,10.2,4472.0,4481,165
b1c81faa-3df17267,Vanilla,0.3533742400990566,0.2704962683240413,0.9921342925095301,0.18392251815980626,472,175,168,7,304,182,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,182,100.0,18.26,96.15,19.99,21.958,363.98,10.966,199.84,2.37,43.05,6.654,121.09,54.5,55.8,56.9,57.4,57.4,54.8,7.7,11.0,4472.0,4480,148
b1c81faa-3df17267,Adaptive,0.23053946660140073,0.15268042564346862,0.9631803565041807,0.1314044507698279,472,131,112,19,360,36,146,80.22,129,17,70.88,9.34,4,2.2,10,5.49,22,12.09,11.8,60.643,22.579,24.447,264.04,5.93,70.27,10.48,121.44,6.169,72.33,53.6,55.1,59.2,60.7,60.7,15.4,75.2,6.2,4434.0,4511,102
b1c81faa-c80764c5,Vanilla,0.457666907093994,0.3365919700478408,0.9981420136514958,0.23359564337239472,866,405,397,8,469,202,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,202,100.0,19.92,94.432,20.207,21.958,401.15,11.173,221.89,2.364,46.86,6.67,132.4,54.3,56.0,56.6,57.5,57.5,49.1,7.8,11.2,4420.0,4435,160
b1c81faa-c80764c5,Adaptive,0.46251882357572427,0.3016126148340715,0.9890996909209491,0.24749454414475497,866,436,404,32,462,123,79,39.11,8,71,3.96,35.15,6,2.97,29,14.36,88,43.56,13.73,63.797,20.887,23.744,283.85,9.997,136.31,4.327,58.33,6.563,89.21,53.9,55.3,57.0,59.2,59.2,49.4,28.1,9.8,4437.0,4449,114
b1c9c847-3bda4659,Vanilla,0.7408483701268738,0.5722538890136288,0.9824032108480606,0.3981260116940807,2937,2408,2209,199,728,203,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,203,100.0,21.1,98.574,19.677,21.858,413.02,10.733,225.5,2.345,49.16,6.599,138.35,53.7,55.1,56.1,56.9,56.9,55.2,7.8,10.6,4451.0,4465,173
b1c9c847-3bda4659,Adaptive,0.732488315066719,0.5016325523395919,0.9455814274545908,0.43848066023665105,2937,2825,2233,592,704,197,6,2.96,0,6,0.0,2.96,1,0.49,171,84.24,25,12.32,22.28,104.221,19.827,21.365,440.34,9.839,218.7,3.511,77.8,6.477,143.85,53.2,54.3,56.1,56.9,56.9,37.3,22.0,10.0,4483.0,4494,186
b1ca2e5d-84cf9134,Vanilla,0.578877289434123,0.38075490820464036,0.9817915944514204,0.30607578912498223,3944,2486,2322,164,1622,203,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,203,100.0,21.29,99.415,19.606,21.36,416.63,10.638,226.24,2.387,50.61,6.581,139.78,53.3,55.1,55.5,55.9,55.9,47.8,7.8,10.4,4509.0,4525,173
b1ca2e5d-84cf9134,Adaptive,0.5952621118228862,0.3755973917925895,0.961557710387957,0.34373439424417646,3944,2892,2414,478,1530,198,5,2.46,0,5,0.0,2.46,1,0.49,170,83.74,27,13.3,22.12,103.269,20.123,21.757,443.19,10.03,221.11,3.601,79.09,6.492,142.99,53.0,54.8,55.7,57.0,57.0,42.3,22.4,10.1,4535.0,4547,186
b1cac6a7-04e33135,Vanilla,0.6925209559781992,0.5013905007464763,0.9917463549767981,0.3555736818333096,1368,984,955,29,413,106,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,106,100.0,11.4,101.262,19.14,20.563,215.78,10.3,116.28,2.328,26.13,6.512,73.37,52.8,54.4,55.1,55.5,55.5,50.9,7.7,9.6,4553.0,4563,92
b1cac6a7-04e33135,Adaptive,0.7143890498086463,0.49154696113581925,0.9881592188722329,0.3752156572785732,1368,1044,988,56,380,80,26,24.53,0,26,0.0,24.53,1,0.94,40,37.74,39,36.79,9.05,79.042,19.954,21.359,177.73,9.873,88.19,3.63,32.12,6.45,57.42,52.7,54.2,55.5,56.2,56.2,50.0,22.5,9.1,4563.0,4573,75
b1cd1e94-549d0bfe,Vanilla,0.7154103695279141,0.5564511195556405,0.9891343863341813,0.3736482081932933,1763,1340,1274,66,489,203,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,203,100.0,21.64,101.078,19.356,20.564,417.7,10.46,225.89,2.355,50.73,6.542,141.08,52.6,53.8,55.1,55.7,55.6,44.6,7.8,10.3,4583.0,4598,175
b1cd1e94-549d0bfe,Adaptive,0.7007620666403918,0.49444271032679143,0.9694886774945737,0.39662940888179216,1763,1471,1264,207,499,161,42,20.69,0,42,0.0,20.69,1,0.49,87,42.86,73,35.96,17.83,82.253,20.117,21.365,357.84,10.063,179.14,3.551,63.09,6.502,115.62,52.5,54.1,55.4,56.1,56.1,43.5,22.4,10.0,4617.0,4635,148
b1ceb32e-3f481b43,Vanilla,0.37602692332972637,0.2599120183867135,0.8963326292234376,0.22680408596638962,715,382,295,87,420,138,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,138,100.0,14.37,99.831,19.522,21.858,278.85,10.597,151.57,2.347,33.42,6.577,93.86,52.5,54.0,54.9,55.6,55.6,53.2,7.8,10.4,4632.0,4644,114
b1ceb32e-3f481b43,Adaptive,0.36182897532578273,0.21029748262877218,0.8285640388514866,0.24426665038018752,715,458,300,158,415,95,43,31.16,23,20,16.67,14.49,20,14.49,42,30.43,33,23.91,13.17,91.096,21.388,24.741,277.94,8.73,113.82,6.247,80.74,6.411,83.38,52.2,53.7,56.1,58.6,58.6,47.6,42.0,8.6,4649.0,4657,110
b1ceb32e-51852abe,Vanilla,0.6076498131674796,0.47244954997144156,0.9857059634321674,0.3277567732258963,2164,1453,1330,123,834,203,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,203,100.0,21.94,102.255,19.197,20.169,419.77,10.314,225.71,2.362,51.57,6.522,142.48,52.3,53.4,54.8,55.2,55.2,47.6,7.8,10.3,4643.0,4655,178
b1ceb32e-51852abe,Adaptive,0.611680214598371,0.44190571639580034,0.9633240688685761,0.34451667786926565,2164,1584,1364,220,800,154,49,24.14,0,49,0.0,24.14,1,0.49,86,42.36,67,33.0,17.63,80.907,19.911,21.354,349.65,9.912,174.25,3.545,62.04,6.454,113.36,52.2,53.4,55.0,56.2,56.2,44.4,22.2,9.5,4650.0,4658,147
