sequence,system,ap_50,ap_50_95,avg_precision,avg_recall,total_gt,total_preds,total_tp,total_fp,total_fn,infer_count,skip_count,skip_rate_pct,erd_empty_count,predict_count,erd_empty_rate_pct,predict_rate_pct,erd_infer_count,erd_infer_rate_pct,augmented_infer_count,augmented_infer_rate_pct,pure_infer_count,pure_infer_rate_pct,wall_duration_s,avg_frame_time_ms,avg_power_w,max_power_w,energy_j,avg_power_gpu_w,energy_gpu_j,avg_power_cpu_w,energy_cpu_j,avg_power_io_w,energy_io_j,avg_gpu_temp_c,max_gpu_temp_c,avg_cpu_temp_c,max_cpu_temp_c,max_tj_temp_c,avg_gpu_util_pct,avg_cpu_util_pct,avg_emc_util_pct,avg_ram_used_mb,max_ram_used_mb,n_tegrastats_samples
b1c66a42-6f7d68ca,Vanilla,0.7277070933619987,0.5774806622848028,0.9951949445508251,0.3754365865957749,2612,1977,1909,68,703,202,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,202,100.0,26.77,125.977,39.778,42.706,1061.6,28.134,750.96,1.756,46.78,9.887,263.85,57.5,59.6,56.9,58.4,59.6,75.7,6.9,45.9,3931.0,3943,217
b1c66a42-6f7d68ca,Adaptive,0.7277340831045327,0.5170606445250349,0.9758638489229874,0.40865498672494266,2612,2227,1933,294,679,180,22,10.89,0,22,0.0,10.89,1,0.5,126,62.38,53,26.24,24.38,114.298,40.341,43.802,978.39,27.468,666.46,3.115,75.29,9.758,236.64,58.4,60.5,58.4,59.6,60.5,71.9,18.9,44.7,4018.0,4023,196
b1c81faa-3df17267,Vanilla,0.3636929956364902,0.2736019804244881,0.9552673392381019,0.20047407283101187,472,202,179,23,293,182,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,182,100.0,21.98,114.676,42.201,44.601,927.36,30.23,664.64,1.613,35.29,10.358,227.42,60.0,61.5,59.1,60.2,61.5,87.7,7.2,49.8,4012.0,4019,177
b1c81faa-3df17267,Adaptive,0.23773768333697615,0.15753663057700945,0.9240567405330146,0.14142304629734959,472,149,120,29,352,38,144,79.12,126,18,69.23,9.89,4,2.2,11,6.04,23,12.64,13.07,67.298,29.747,44.2,388.43,12.424,164.99,9.864,126.16,7.459,97.28,56.8,60.8,61.1,62.6,62.6,33.1,70.0,20.1,4042.0,4076,112
b1c81faa-c80764c5,Vanilla,0.5368165042573048,0.42448401681805176,0.9997046809937887,0.27120501090719284,866,469,465,4,401,202,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,202,100.0,24.48,115.012,42.34,44.115,1032.71,30.374,741.02,1.601,38.97,10.365,252.71,60.6,61.8,59.6,60.6,61.8,82.0,7.4,49.9,4030.0,4032,196
b1c81faa-c80764c5,Adaptive,0.524151695119461,0.37791587677829697,0.9921929428698414,0.27444747999020513,866,481,457,24,409,125,77,38.12,1,76,0.5,37.62,1,0.5,17,8.42,107,52.97,15.62,72.248,42.238,44.312,654.75,29.043,450.25,3.084,47.76,10.11,156.74,60.4,62.2,60.6,61.6,62.2,77.5,19.9,47.4,4047.0,4050,128
b1c9c847-3bda4659,Vanilla,0.834158747492421,0.6621579263050276,0.9921960567920379,0.4384467169434236,2937,2610,2466,144,471,203,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,203,100.0,27.04,126.465,40.046,42.007,1077.81,28.25,760.53,1.877,50.43,9.919,266.85,61.2,62.5,60.7,61.4,62.5,83.1,7.2,45.6,4028.0,4032,219
b1c9c847-3bda4659,Adaptive,0.8265478842153307,0.5772853751198309,0.9635296714388778,0.4856527554042942,2937,3043,2480,563,457,198,5,2.46,0,5,0.0,2.46,1,0.49,175,86.21,22,10.84,27.82,130.447,39.911,42.405,1107.53,27.063,751.31,3.176,87.94,9.672,268.28,61.1,62.7,61.2,62.1,62.7,76.2,18.5,43.3,4049.0,4054,226
b1ca2e5d-84cf9134,Vanilla,0.6441277880573911,0.4217205452883236,0.9725310429510928,0.34883755857263005,3944,2870,2605,265,1339,203,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,203,100.0,27.43,128.386,39.76,42.607,1088.54,28.01,767.46,1.888,51.34,9.862,269.74,61.7,62.9,61.1,61.9,62.9,82.2,7.3,44.8,4041.0,4045,219
b1ca2e5d-84cf9134,Adaptive,0.6626551994453922,0.41639313813687134,0.9479585281383573,0.3938752913124164,3944,3384,2713,671,1231,197,6,2.96,0,6,0.0,2.96,1,0.49,168,82.76,28,13.79,28.2,132.713,39.41,43.302,1104.71,26.644,747.11,3.164,88.5,9.602,269.1,61.3,62.8,61.6,62.7,62.8,74.0,18.5,42.6,4057.0,4061,230
b1cac6a7-04e33135,Vanilla,0.7670302087244463,0.6041563221504881,0.9902668897207388,0.3985565346246461,1368,1105,1059,46,309,106,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,106,100.0,13.95,124.88,39.722,42.506,551.69,28.011,389.28,1.806,24.96,9.905,137.45,61.4,62.8,61.1,61.9,62.8,80.4,6.9,44.0,4040.0,4042,112
b1cac6a7-04e33135,Adaptive,0.7745564818966333,0.590894327991865,0.9838215158985951,0.4138606330321057,1368,1159,1075,84,293,81,25,23.58,0,25,0.0,23.58,1,0.94,36,33.96,44,41.51,11.17,98.732,39.474,42.804,435.53,26.59,293.62,3.232,35.42,9.653,106.49,60.8,62.6,61.4,62.1,62.6,79.3,18.7,41.4,4057.0,4061,88
b1cd1e94-549d0bfe,Vanilla,0.7045958513692681,0.564299128527433,0.9920934889214408,0.36725267351936147,1763,1312,1251,61,512,203,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,203,100.0,25.49,119.428,41.464,43.502,1054.18,29.614,753.37,1.65,41.73,10.2,259.08,62.2,63.4,61.5,62.4,63.4,90.2,7.0,48.0,4043.0,4046,209
b1cd1e94-549d0bfe,Adaptive,0.682171491241102,0.5015948566080398,0.9723415194845463,0.3867914275174627,1763,1430,1226,204,537,164,39,19.21,0,39,0.0,19.21,1,0.49,85,41.87,78,38.42,21.24,98.687,41.611,44.097,878.8,28.454,601.27,3.18,66.92,9.977,210.61,61.9,63.6,62.3,63.3,63.6,68.6,19.0,46.3,4061.0,4071,174
b1ceb32e-3f481b43,Vanilla,0.3743047559696894,0.2632534404164515,0.970810772478065,0.20140324791487585,715,301,275,26,440,138,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,138,100.0,16.51,114.762,42.732,45.099,699.24,30.642,501.51,1.625,26.54,10.464,171.2,62.8,64.1,62.0,62.8,64.1,90.4,6.8,49.3,4047.0,4048,135
b1ceb32e-3f481b43,Adaptive,0.32789877029602754,0.20747751604515985,0.9242139025516212,0.19784965034965035,715,320,249,71,466,80,58,42.03,43,15,31.16,10.87,14,10.14,27,19.57,39,28.26,13.36,92.345,37.406,44.284,495.35,22.039,292.52,6.244,81.99,9.123,120.85,61.2,63.6,63.1,65.2,65.2,59.9,41.2,35.2,4061.0,4064,109
b1ceb32e-51852abe,Vanilla,0.6547890123250153,0.5102356733628087,0.9920064629466185,0.33549863568347854,2164,1470,1428,42,736,203,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,203,100.0,25.78,120.763,41.35,43.104,1064.08,29.429,757.6,1.735,44.5,10.186,261.99,62.9,64.2,62.3,63.2,64.2,89.0,6.9,47.7,4046.0,4048,210
b1ceb32e-51852abe,Adaptive,0.6716041446856866,0.4909823344146913,0.9841309718991085,0.3610539042437758,2164,1603,1473,130,691,158,45,22.17,0,45,0.0,22.17,1,0.49,92,45.32,65,32.02,20.84,96.576,41.136,43.8,852.1,28.033,580.92,3.199,65.99,9.904,205.19,62.3,64.2,62.8,63.6,64.2,79.4,18.7,45.6,4064.0,4069,167
b1cebfb7-284f5117,Vanilla,0.6052088948681746,0.4763675061526196,0.9834820150322687,0.3200588173461002,1956,1284,1202,82,754,202,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,202,100.0,25.37,119.568,41.604,44.115,1054.58,29.672,752.26,1.703,43.11,10.229,259.21,63.1,64.3,62.5,63.2,64.3,81.4,7.0,48.1,4043.0,4048,207
b1cebfb7-284f5117,Adaptive,0.5956940302698626,0.40072316397450597,0.9566762901536325,0.342053377650939,1956,1436,1206,230,750,170,32,15.84,0,32,0.0,15.84,2,0.99,95,47.03,73,36.14,22.19,104.059,41.544,44.698,916.12,28.36,625.77,3.192,70.07,9.993,220.28,62.7,64.2,63.0,64.8,64.8,76.3,19.0,46.1,4077.0,4083,181
b1d0091f-75824d0d,Vanilla,0.7443751970005742,0.645372200774701,0.9977485783969395,0.38021895010639895,1641,1252,1224,28,417,202,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,202,100.0,25.39,119.743,41.46,43.205,1049.52,29.614,749.84,1.632,41.22,10.214,258.47,63.2,64.4,62.7,63.4,64.4,79.1,7.2,48.2,4054.0,4056,205
b1d0091f-75824d0d,Adaptive,0.7605962007468106,0.612837889703107,0.995282699657659,0.3961213372966586,1641,1310,1253,57,388,147,55,27.23,0,55,0.0,27.23,1,0.5,55,27.23,91,45.05,19.11,88.839,41.546,44.2,789.09,28.394,539.68,3.147,59.48,10.005,189.93,62.8,64.2,63.0,63.7,64.2,76.8,19.3,45.8,4081.0,4085,157
b1d0091f-f2c2d2ae,Vanilla,0.6001118759219859,0.4840038132087193,0.9868049854076645,0.31436848378148174,2451,1574,1489,85,962,202,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,202,100.0,25.81,121.068,41.36,43.602,1064.31,29.45,757.86,1.717,44.16,10.192,262.29,63.5,64.4,62.7,63.4,64.4,88.7,7.1,47.5,4054.0,4057,205
