sequence,system,ap_50,ap_50_95,avg_precision,avg_recall,total_gt,total_preds,total_tp,total_fp,total_fn,infer_count,skip_count,skip_rate_pct,erd_empty_count,predict_count,erd_empty_rate_pct,predict_rate_pct,erd_infer_count,erd_infer_rate_pct,augmented_infer_count,augmented_infer_rate_pct,pure_infer_count,pure_infer_rate_pct,wall_duration_s,avg_frame_time_ms,avg_power_w,max_power_w,energy_j,avg_power_gpu_w,energy_gpu_j,avg_power_cpu_w,energy_cpu_j,avg_power_io_w,energy_io_j,avg_gpu_temp_c,max_gpu_temp_c,avg_cpu_temp_c,max_cpu_temp_c,max_tj_temp_c,avg_gpu_util_pct,avg_cpu_util_pct,avg_emc_util_pct,avg_ram_used_mb,max_ram_used_mb,n_tegrastats_samples
b1c66a42-6f7d68ca,Adaptive,0.6547137566026896,0.43535690410176614,0.9409991614832709,0.3967757594612498,2612,2284,1781,503,831,140,62,30.69,0,62,0.0,30.69,1,0.5,113,55.94,26,12.87,18.66,86.178,41.028,44.981,764.8,27.896,520.35,3.208,59.51,9.924,184.95,63.3,65.3,63.6,64.6,65.3,68.3,18.9,45.0,3619.0,3634,153
b1c81faa-3df17267,Adaptive,0.2294851429638845,0.15498542469700757,0.9444308542856191,0.13633474576271187,472,140,113,27,359,30,152,83.52,125,27,68.68,14.84,4,2.2,7,3.85,19,10.44,11.48,58.676,29.422,45.68,336.77,11.511,135.64,10.501,116.39,7.409,84.74,60.7,64.4,65.1,66.2,66.2,30.7,74.2,18.3,3639.0,3661,97
b1c81faa-c80764c5,Adaptive,0.46786645800623067,0.30632033591497604,0.9511805267441142,0.27236562061314135,866,510,421,89,445,100,102,50.5,1,101,0.5,50.0,1,0.5,42,20.79,57,28.22,12.48,56.956,42.46,45.282,528.23,29.008,361.32,3.255,40.17,10.197,126.73,63.6,65.2,63.5,64.6,65.2,78.3,20.0,45.9,3630.0,3634,102
b1c9c847-3bda4659,Adaptive,0.7313922070209554,0.4820349924878549,0.9262057534767258,0.46042149384653175,2937,3059,2249,810,688,155,48,23.65,0,48,0.0,23.65,1,0.49,137,67.49,17,8.37,20.1,93.081,41.645,44.683,836.17,28.437,571.43,3.211,64.19,9.997,200.56,63.7,65.4,64.1,64.9,65.4,70.9,19.1,46.3,3628.0,3633,165
b1ca2e5d-84cf9134,Adaptive,0.6075970233813185,0.36232234153715437,0.9098622620570103,0.38346715082481,3944,3491,2563,928,1381,157,46,22.66,0,46,0.0,22.66,1,0.49,141,69.46,15,7.39,20.63,95.63,41.494,45.182,851.88,28.306,581.52,3.225,65.93,9.963,204.43,63.8,65.4,64.1,64.8,65.4,80.2,19.1,45.8,3638.0,3643,168
b1cac6a7-04e33135,Adaptive,0.7771666727793622,0.5788620272772617,0.979782132373067,0.42375511329799176,1368,1198,1081,117,287,64,42,39.62,0,42,0.0,39.62,1,0.94,43,40.57,20,18.87,8.45,72.787,40.599,43.686,335.94,27.516,227.78,3.225,26.58,9.857,81.58,63.5,64.9,63.7,64.5,64.9,61.3,19.2,41.6,3634.0,3637,68
b1cd1e94-549d0bfe,Adaptive,0.6599497499919192,0.45049792859096643,0.9484626969194501,0.3924920473146175,1763,1506,1207,299,556,133,70,34.48,0,70,0.0,34.48,1,0.49,90,44.33,42,20.69,16.69,76.412,42.51,45.183,704.59,29.141,483.11,3.196,52.8,10.173,168.68,64.1,65.5,64.2,65.1,65.5,72.8,19.0,47.2,3640.0,3645,138
b1ceb32e-3f481b43,Adaptive,0.2976689836375443,0.17790985673665982,0.8566642556546435,0.2002076355017532,715,357,239,118,476,63,75,54.35,28,47,20.29,34.06,4,2.9,29,21.01,30,21.74,9.73,66.001,37.988,45.68,366.25,23.378,226.26,5.278,50.1,9.333,89.89,63.2,65.4,64.4,67.0,67.0,61.5,34.0,36.0,3644.0,3650,81
b1ceb32e-51852abe,Adaptive,0.6430299802084216,0.45436243296319895,0.9699977621453632,0.35796334479328934,2164,1628,1426,202,738,127,76,37.44,0,76,0.0,37.44,1,0.49,89,43.84,37,18.23,16.06,73.014,42.299,45.182,673.66,28.955,461.38,3.221,51.11,10.123,161.17,64.0,65.6,64.2,65.3,65.6,71.2,19.3,46.8,3645.0,3649,133
b1cebfb7-284f5117,Adaptive,0.47179732246717077,0.3003424273585561,0.8898374692830434,0.30867542115696933,1956,1438,1000,438,956,121,81,40.1,0,81,0.0,40.1,1,0.5,69,34.16,51,25.25,15.55,70.622,41.622,44.57,644.7,28.53,442.21,3.049,46.97,10.044,155.52,64.1,65.7,64.3,65.1,65.7,74.6,18.8,45.7,3648.0,3651,129
b1d0091f-75824d0d,Adaptive,0.7620668026900896,0.5866833940472729,0.9853248934173945,0.41216712864779464,1641,1387,1265,122,376,113,89,44.06,0,89,0.0,44.06,1,0.5,53,26.24,59,29.21,14.31,65.179,42.283,44.683,602.8,28.939,412.79,3.212,45.62,10.132,144.39,64.3,65.8,64.3,65.0,65.8,69.6,19.6,46.2,3652.0,3655,117
b1d0091f-f2c2d2ae,Adaptive,0.6240848571467017,0.4582515094188445,0.9661636750924596,0.3478657452077431,2451,1795,1575,220,876,131,71,35.15,0,71,0.0,35.15,1,0.5,92,45.54,38,18.81,16.81,76.451,42.04,45.169,699.26,28.754,478.21,3.2,53.13,10.087,167.92,64.3,65.9,64.4,65.2,65.9,63.6,19.5,46.3,3653.0,3657,136
b1d0a191-03dcecc2,Adaptive,0.6883231365964544,0.4585995591874368,0.9551155410970759,0.4046940611545305,3220,2803,2289,514,931,146,56,27.72,0,56,0.0,27.72,1,0.5,121,59.9,24,11.88,18.94,87.3,42.01,44.683,793.17,28.738,542.84,3.22,60.61,10.051,189.72,64.5,65.9,64.5,65.2,65.9,74.7,19.4,46.0,3650.0,3658,157
b1d0a191-06deb55d,Adaptive,0.6217080966798519,0.4027229495711171,0.9105279487595256,0.3913739655972398,2441,2187,1628,559,813,133,69,34.16,0,69,0.0,34.16,1,0.5,98,48.51,34,16.83,17.19,78.528,41.818,44.67,712.36,28.573,486.65,3.222,54.79,10.024,170.92,64.1,66.0,64.6,65.6,66.0,63.0,19.3,46.1,3653.0,3658,140
b1d0a191-28f0e779,Adaptive,0.6853721245371792,0.45843667626419415,0.9277571259771461,0.43060322218059205,1615,1570,1157,413,458,120,70,36.84,2,68,1.05,35.79,1,0.53,86,45.26,33,17.37,15.29,74.672,42.21,45.169,639.92,28.832,437.1,3.307,50.1,10.071,152.72,64.2,65.8,64.6,65.7,65.8,73.9,20.0,46.3,3652.0,3657,127
b1d0a191-2ed2269e,Adaptive,0.7078056206973364,0.4618890577605262,0.9474660517664573,0.41987067283123486,3126,2862,2299,563,827,150,53,26.11,0,53,0.0,26.11,1,0.49,126,62.07,23,11.33,19.37,89.15,41.892,44.683,805.7,28.661,551.34,3.217,61.76,10.014,192.6,64.3,65.9,64.6,65.5,65.9,70.3,18.9,46.5,3653.0,3657,159
b1d0a191-5490450b,Adaptive,0.6492847065222036,0.4518032671460951,0.9190945643643745,0.3972538591356852,1778,1607,1231,376,547,130,74,36.27,0,74,0.0,36.27,1,0.49,85,41.67,44,21.57,16.41,74.388,42.532,45.182,691.0,29.206,474.57,3.191,51.72,10.135,164.7,64.4,65.9,64.6,65.5,65.9,77.4,19.1,47.0,3653.0,3657,136
b1d0a191-65deaeef,Adaptive,0.7384992915546453,0.4928505701217264,0.9304596172662948,0.43752601510406625,3276,3171,2572,599,704,152,50,24.75,0,50,0.0,24.75,1,0.5,134,66.34,17,8.42,20.37,94.413,40.844,44.67,834.09,27.769,568.28,3.187,64.5,9.889,201.31,64.4,66.0,64.7,65.5,66.0,70.7,18.8,45.3,3650.0,3653,166
b1d0a191-de8948f6,Adaptive,0.7102717586160057,0.5280452682891531,0.9647915037944917,0.406408446815576,2478,2134,1807,327,671,137,65,32.18,0,65,0.0,32.18,1,0.5,105,51.98,31,15.35,17.5,80.14,42.148,45.182,733.71,28.864,502.85,3.215,55.69,10.068,175.17,64.3,65.8,64.6,65.7,65.8,70.0,19.3,46.4,3655.0,3661,145
b1d10d08-5b108225,Adaptive,0.5781031271168303,0.4050691397342681,0.9683504346571684,0.322262783273146,2123,1440,1260,180,863,117,85,42.08,0,85,0.0,42.08,1,0.5,68,33.66,48,23.76,14.94,68.291,41.827,44.683,620.64,28.561,424.04,3.204,47.32,10.061,149.29,64.3,66.2,64.8,65.6,65.8,59.5,19.8,46.0,3656.0,3659,122
b1d10d08-743fd86c,Adaptive,0.2978218169557311,0.2015332556603649,0.9609538449873511,0.17230199166280688,1016,374,311,63,705,92,110,54.46,11,99,5.45,49.01,7,3.47,17,8.42,68,33.66,12.48,56.83,41.094,45.182,509.62,27.058,335.53,4.176,51.85,9.86,122.24,64.2,65.8,64.9,67.3,67.3,72.8,26.5,43.0,3679.0,3684,104
b1d10d08-c35503b8,Adaptive,0.705042789836504,0.48310309802795537,0.9485530343601828,0.4262395260426307,3127,2906,2277,629,850,154,48,23.76,0,48,0.0,23.76,1,0.5,140,69.31,13,6.44,19.84,92.275,41.971,45.169,829.65,28.705,567.67,3.209,63.2,10.057,198.78,64.5,66.2,64.9,65.6,66.2,75.1,19.2,46.7,3680.0,3684,163
b1d10d08-da110fcb,Adaptive,0.7446223247710679,0.526650786300385,0.9385411732167441,0.45476137145102663,2250,2262,1747,515,503,140,54,27.84,0,54,0.0,27.84,1,0.52,116,59.79,23,11.86,17.73,85.796,42.357,45.667,746.84,29.047,512.56,3.201,56.15,10.109,178.13,64.5,66.2,64.8,65.7,66.1,71.3,18.7,46.7,3680.0,3684,146
b1d10d08-ec660956,Adaptive,0.6747001876889804,0.4709350588334762,0.9566086910873606,0.3919949791150293,2117,1780,1476,304,641,128,74,36.63,0,74,0.0,36.63,1,0.5,91,45.05,36,17.82,16.35,74.267,42.007,44.285,682.42,28.719,467.0,3.238,52.27,10.051,163.15,64.5,66.2,64.9,65.6,66.2,73.3,19.1,46.1,3684.0,3690,135
b1d22449-117aa773,Adaptive,0.3941896739035042,0.2648907609338581,0.9356224119125017,0.23575255658005032,1193,625,494,131,699,107,95,47.03,0,95,0.0,47.03,3,1.49,40,19.8,64,31.68,13.28,61.168,42.75,45.283,563.46,29.268,386.28,3.264,42.59,10.218,134.59,64.7,66.3,65.0,67.1,67.1,65.8,19.7,46.7,3688.0,3693,110
b1d22449-15fb948f,Adaptive,0.08108616324282557,0.043791819527714715,0.9825467645844925,0.04552173913043478,500,46,41,5,459,23,160,87.43,143,17,78.14,9.29,7,3.83,5,2.73,11,6.01,11.88,61.04,27.784,43.591,330.66,9.401,113.52,11.282,132.65,7.101,84.5,61.1,64.4,66.0,67.0,67.0,24.4,80.0,14.7,3687.0,3691,102
b1d22ed6-f1cac061,Adaptive,0.7506424953236642,0.4767862937081799,0.9254164910647346,0.47333107677097347,4610,4941,3625,1316,985,173,30,14.78,0,30,0.0,14.78,1,0.49,166,81.77,6,2.96,24.23,112.921,39.924,44.185,962.37,27.023,651.68,3.201,76.98,9.7,233.7,63.9,65.5,64.3,65.1,65.5,73.3,18.6,43.5,3684.0,3688,196
b1d3907b-2278601b,Adaptive,0.2951196464005991,0.18221183091043522,0.9331285666952245,0.17333942939479272,867,333,271,62,596,107,95,47.03,0,95,0.0,47.03,10,4.95,29,14.36,68,33.66,13.54,62.399,42.663,45.283,574.67,29.0,391.11,3.484,46.56,10.179,137.0,64.2,65.6,64.3,66.8,66.8,77.8,21.3,46.1,3688.0,3691,112
b1d4b62c-60aab822,Adaptive,0.7951089487606489,0.5784365615039138,0.9636069719944169,0.4600527728937179,2214,2164,1806,358,408,135,68,33.5,0,68,0.0,33.5,1,0.49,111,54.68,23,11.33,16.98,78.659,42.604,45.183,718.05,29.213,492.6,3.21,53.91,10.181,171.54,64.4,66.0,64.6,65.6,66.0,75.6,19.1,47.3,3688.0,3691,143
b1d59b1f-a38aec79,Adaptive,0.48717782895449163,0.3151880599043695,0.875425362685562,0.32035507371077837,298,234,159,75,139,69,99,58.93,15,84,8.93,50.0,3,1.79,11,6.55,55,32.74,9.8,53.287,39.152,45.183,378.31,25.215,243.99,4.315,41.44,9.622,92.88,63.5,65.3,64.5,66.3,66.3,57.1,26.6,39.0,3686.0,3690,80
b1d7b3ac-0bdb47dc,Adaptive,0.6637838279088877,0.4415218166053931,0.9395932200622833,0.40741874657853655,1480,1333,1021,312,459,123,79,39.11,0,79,0.0,39.11,1,0.5,75,37.13,47,23.27,15.31,70.737,42.763,45.681,653.47,29.355,449.09,3.195,48.49,10.213,155.88,64.6,65.9,64.6,65.2,65.9,69.2,19.5,47.1,3689.0,3694,127
b1d7b3ac-36f2d3b7,Adaptive,0.652704449677378,0.4194798808739778,0.9103164691484243,0.4168701934096855,724,699,502,197,222,90,86,48.86,12,74,6.82,42.05,2,1.14,38,21.59,50,28.41,12.15,63.548,40.784,45.082,491.25,27.017,326.19,3.904,46.34,9.863,118.72,64.0,65.7,64.5,67.1,67.1,76.3,24.5,42.6,3691.0,3696,98
b1d7b3ac-5744370e,Adaptive,0.43667882503288474,0.30043477395462137,0.866459187820979,0.3015416238437821,556,420,262,158,294,99,99,50.0,8,91,4.04,45.96,3,1.52,25,12.63,71,35.86,12.82,59.811,41.837,45.68,535.99,28.566,367.12,3.162,39.49,10.108,129.38,64.4,65.8,64.5,67.3,67.3,74.4,20.4,45.8,3687.0,3690,104
b1d7b3ac-995f9d8a,Adaptive,0.6834212247679923,0.4192521858752146,0.9128187069228425,0.4438352413710491,755,774,543,231,212,109,80,42.33,0,80,0.0,42.33,2,1.06,57,30.16,50,26.46,13.7,66.417,42.141,44.696,574.47,28.821,393.35,3.192,43.19,10.127,137.93,64.3,65.6,64.6,66.4,66.4,65.5,19.6,46.1,3687.0,3689,112
b1d7b3ac-9e14f05f,Adaptive,0.7235145390887832,0.49667810735748114,0.9454261493923051,0.43061617458279844,1312,1235,988,247,324,116,86,42.57,0,86,0.0,42.57,1,0.5,68,33.66,47,23.27,14.58,66.993,42.499,45.282,618.15,29.129,424.03,3.208,46.4,10.161,147.72,64.6,66.2,64.6,65.4,66.2,79.7,19.9,46.5,3686.0,3690,120
b1d7b3ac-afa57f22,Adaptive,0.6566241390206969,0.42288485722154173,0.9618087515897115,0.3796439628482972,400,323,270,53,130,83,87,51.18,9,78,5.29,45.88,10,5.88,25,14.71,48,28.24,11.32,61.647,41.127,45.183,459.66,26.927,301.66,4.332,47.72,9.868,110.28,64.3,65.7,64.9,67.6,67.6,76.5,28.2,42.9,3687.0,3692,93
b1d968b9-563405f4,Adaptive,0.7763126031110009,0.581865181862445,0.9223035040933611,0.4552604753714822,2656,2683,2221,462,435,128,75,36.95,0,75,0.0,36.95,1,0.49,85,41.87,42,20.69,16.81,76.548,41.643,44.683,695.32,28.417,474.68,3.213,53.48,10.012,167.16,64.6,66.1,64.6,65.3,66.1,81.8,19.4,45.3,3687.0,3693,137
b1d968b9-ce42734f,Adaptive,0.7753532884812462,0.5534325776662583,0.931278547631678,0.4715103256909317,3559,3753,2904,849,655,143,60,29.56,0,60,0.0,29.56,1,0.49,117,57.64,25,12.32,19.15,88.116,40.857,44.298,780.87,27.769,531.12,3.226,61.36,9.862,188.38,64.2,65.9,64.5,65.2,65.9,64.7,19.0,44.7,3701.0,3704,155
b1d971b4-ac67ca0d,Adaptive,0.7452824011358905,0.5114726654457172,0.9480849390753388,0.4529821380270199,2503,2477,1924,553,579,141,58,29.15,0,58,0.0,29.15,1,0.5,113,56.78,27,13.57,18.06,84.624,42.18,44.784,757.44,28.87,518.85,3.23,57.71,10.08,180.88,64.3,65.9,64.5,65.7,65.9,78.3,19.1,46.5,3703.0,3707,149
b1d9e136-6c94ea3f,Adaptive,0.7216168118697672,0.5219396953322789,0.9669247309255617,0.4164998118614622,2342,2063,1728,335,614,133,69,34.16,0,69,0.0,34.16,1,0.5,102,50.5,30,14.85,16.91,77.608,42.141,44.683,712.03,28.819,487.37,3.247,54.52,10.075,170.14,64.3,66.2,64.7,65.5,65.9,78.9,19.3,46.6,3704.0,3708,141
b1d9e136-9ab25cb3,Adaptive,0.7206082588412401,0.4824823155189438,0.9273210960724985,0.4454295101143341,2942,2943,2234,709,708,152,50,24.75,0,50,0.0,24.75,1,0.5,129,63.86,22,10.89,19.75,91.428,41.605,44.186,816.88,28.403,558.03,3.205,62.65,9.996,196.2,64.3,66.1,64.7,65.6,66.1,77.1,18.9,46.1,3701.0,3705,160
b1dac7f7-6b2e0382,Adaptive,0.655858680476916,0.4322605031775787,0.9344112881118515,0.4015491947160479,3637,3248,2498,750,1139,145,57,28.22,0,57,0.0,28.22,1,0.5,123,60.89,21,10.4,19.08,88.113,41.461,43.788,785.46,28.283,536.16,3.221,60.77,9.957,188.53,64.3,65.8,64.7,65.9,65.9,73.9,19.1,45.5,3703.0,3708,155
b1db7e22-cfa74dc3,Adaptive,0.374851545515574,0.24246149980247916,0.9482768263338963,0.22183098591549294,1420,685,553,132,867,121,82,40.39,0,82,0.0,40.39,1,0.49,65,32.02,55,27.09,14.73,67.88,43.357,45.782,637.01,29.926,439.93,3.111,45.45,10.321,151.63,64.6,66.2,64.7,65.4,66.2,82.2,18.5,48.2,3704.0,3706,122
b1dce572-c6a8cb5e,Adaptive,0.6934233518231047,0.4863421094842565,0.9538613785028095,0.4015178918677362,2542,2199,1828,371,714,135,67,33.17,0,67,0.0,33.17,1,0.5,103,50.99,31,15.35,17.35,79.362,41.813,44.785,721.94,28.544,493.29,3.228,55.41,10.04,173.24,64.4,66.0,65.0,66.1,66.1,63.8,19.2,46.1,3707.0,3710,141
b1dd58c1-8b546ba7,Adaptive,0.7250632923401632,0.518062991702505,0.9583761405887321,0.4260345143209152,2456,2242,1832,410,624,143,54,27.41,0,54,0.0,27.41,1,0.51,114,57.87,28,14.21,18.19,86.148,42.316,44.684,766.48,28.975,525.27,3.225,58.09,10.116,183.12,64.6,66.0,64.8,65.7,66.0,73.1,19.2,46.7,3699.0,3702,150
b1df722f-57d21f3f,Adaptive,0.5782099113106998,0.36881891841285064,0.8698322817714433,0.39216522106464335,1935,1884,1218,666,717,129,73,36.14,0,73,0.0,36.14,1,0.5,89,44.06,39,19.31,16.29,75.579,42.356,45.183,684.36,28.998,468.68,3.227,51.99,10.131,163.69,64.5,66.1,65.0,65.7,66.1,75.2,19.3,47.0,3705.0,3712,135
b1df722f-5bcc3db7,Adaptive,0.4854213968894141,0.27353490697372523,0.7559734429349241,0.37690003312545906,1365,1526,802,724,563,139,63,31.19,0,63,0.0,31.19,1,0.5,104,51.49,34,16.83,17.45,81.003,42.608,45.68,736.05,29.24,505.03,3.189,55.08,10.18,175.94,64.6,66.1,65.0,65.8,66.1,75.4,19.4,47.6,3714.0,3717,142
b1e0c01d-dd9e6e2f,Adaptive,0.6705820692368454,0.42589950062323156,0.9371602147830685,0.40718558007570504,2054,1857,1439,418,615,134,68,33.66,0,68,0.0,33.66,1,0.5,92,45.54,41,20.3,17.3,78.891,41.697,44.272,715.72,28.484,489.02,3.177,54.4,10.036,172.3,64.6,66.2,65.1,65.8,66.2,69.0,19.3,46.1,3708.0,3714,142
b1e1a7b8-0aec80e8,Adaptive,0.6197996779762377,0.4077715423813067,0.942814401825656,0.3633290844555866,1982,1573,1288,285,694,125,78,38.42,0,78,0.0,38.42,1,0.49,83,40.89,41,20.2,16.08,72.474,41.971,44.67,672.31,28.723,460.43,3.197,50.98,10.051,160.91,64.7,66.2,65.0,65.7,66.2,76.6,19.5,45.9,3705.0,3709,132
b1e1a7b8-65ec7612,Adaptive,0.6334276595191662,0.41497490954764754,0.9224624391237415,0.3871688555595234,1860,1626,1253,373,607,135,67,33.17,0,67,0.0,33.17,1,0.5,98,48.51,36,17.82,17.14,78.367,42.247,44.684,719.28,28.931,492.91,3.202,54.26,10.115,172.1,64.7,66.2,65.1,65.9,66.2,78.1,19.9,46.7,3704.0,3708,142
b1e1a7b8-a7426a97,Adaptive,0.6016100855179954,0.426414035301359,0.9513945628288377,0.35879130613973653,1838,1431,1142,289,696,138,65,32.02,0,65,0.0,32.02,1,0.49,98,48.28,39,19.21,17.17,79.0,42.9,45.183,731.61,29.481,503.07,3.202,54.41,10.217,174.13,64.9,66.3,65.2,65.9,66.3,77.1,19.9,47.6,3700.0,3707,143
b1e1a7b8-b397c445,Adaptive,0.511863572516409,0.3438497428339637,0.9263899526311122,0.31424370294033,1561,1104,844,260,717,125,77,38.12,0,77,0.0,38.12,1,0.5,75,37.13,49,24.26,15.44,71.406,43.122,45.68,659.32,29.621,452.88,3.222,49.17,10.279,157.27,65.0,66.6,65.1,65.9,66.6,70.5,19.2,48.0,3710.0,3713,128
