sequence,system,ap_50,ap_50_95,avg_precision,avg_recall,total_gt,total_preds,total_tp,total_fp,total_fn,infer_count,skip_count,skip_rate_pct,erd_empty_count,predict_count,erd_empty_rate_pct,predict_rate_pct,erd_infer_count,erd_infer_rate_pct,augmented_infer_count,augmented_infer_rate_pct,pure_infer_count,pure_infer_rate_pct,wall_duration_s,avg_frame_time_ms,avg_power_w,max_power_w,energy_j,avg_power_gpu_w,energy_gpu_j,avg_power_cpu_w,energy_cpu_j,avg_power_io_w,energy_io_j,avg_gpu_temp_c,max_gpu_temp_c,avg_cpu_temp_c,max_cpu_temp_c,max_tj_temp_c,avg_gpu_util_pct,avg_cpu_util_pct,avg_emc_util_pct,avg_ram_used_mb,max_ram_used_mb,n_tegrastats_samples
b1c66a42-6f7d68ca,CTD-0.30,0.6328660424265269,0.44093610008686335,0.9113391779769859,0.4197398064375868,2612,2564,1715,849,897,154,48,23.76,0,48,0.0,23.76,0,0.0,0,0.0,154,76.24,20.85,95.866,39.064,43.699,811.03,26.622,553.0,2.83,58.63,9.612,199.4,51.2,54.1,51.3,52.9,54.1,67.4,18.9,44.9,3416.0,3482,168
b1c66a42-6f7d68ca,CTD-0.50,0.674344746188482,0.4730317876927884,0.9203785624526196,0.43967485998935796,2612,2642,1824,818,788,167,35,17.33,0,35,0.0,17.33,0,0.0,0,0.0,167,82.67,20.92,98.049,41.661,44.596,865.4,28.768,597.84,2.944,61.04,9.949,206.53,53.7,55.8,53.6,55.1,55.8,62.5,18.7,48.1,3439.0,3448,174
b1c66a42-6f7d68ca,CTD-0.70,0.678107660728466,0.4765068073698887,0.9219225825144708,0.4410236754720348,2612,2643,1833,810,779,169,33,16.34,0,33,0.0,16.34,0,0.0,0,0.0,169,83.66,21.28,99.421,41.768,44.598,884.44,28.749,609.02,3.071,64.94,9.948,210.48,55.4,57.6,55.4,56.8,57.6,60.5,19.5,47.8,3443.0,3486,175
b1c66a42-6f7d68ca,CTD-0.90,0.6943991260742832,0.48916496723726793,0.931397541208406,0.44260063275679035,2612,2608,1873,735,739,184,18,8.91,0,18,0.0,8.91,0,0.0,0,0.0,184,91.09,22.87,107.683,42.275,45.197,961.95,29.161,663.85,3.062,69.51,10.052,228.59,56.9,58.9,56.9,58.5,58.9,65.2,18.7,48.6,3445.0,3454,189
b1c81faa-3df17267,CTD-0.30,0.1782849904207908,0.1137813120631402,0.7726268660421048,0.1412536380756719,472,198,93,105,379,98,84,46.15,0,84,0.0,46.15,0,0.0,0,0.0,98,53.85,12.29,60.727,40.584,44.001,497.16,28.746,352.45,1.833,22.29,10.005,122.43,57.7,59.5,56.9,58.1,59.5,71.7,10.5,46.2,3443.0,3448,98
b1c81faa-3df17267,CTD-0.50,0.20377698143573092,0.13119851575693517,0.8795622336305041,0.14487012335773747,472,169,99,70,373,101,81,44.51,0,81,0.0,44.51,0,0.0,0,0.0,101,55.49,12.13,61.995,42.262,46.094,509.68,30.019,362.21,1.979,23.79,10.265,123.68,58.5,59.9,57.6,58.4,59.9,85.1,10.6,48.6,3445.0,3448,98
b1c81faa-3df17267,CTD-0.70,0.20527373483589523,0.13798896097962632,0.880824199225574,0.1467068093963723,472,171,99,72,373,104,78,42.86,0,78,0.0,42.86,0,0.0,0,0.0,104,57.14,12.43,63.657,42.322,45.994,526.14,30.032,373.9,2.049,25.16,10.241,127.08,59.0,60.2,58.1,59.2,60.2,80.8,10.9,48.6,3444.0,3447,102
b1c81faa-3df17267,CTD-0.90,0.27207864613242766,0.19213262838853676,0.9308381730718797,0.1763233028188163,472,187,132,55,340,122,60,32.97,0,60,0.0,32.97,0,0.0,0,0.0,122,67.03,14.43,74.607,42.986,45.696,619.62,30.488,439.96,2.156,30.71,10.341,148.95,59.5,60.6,58.6,59.9,60.6,82.7,11.9,49.7,3444.0,3450,118
b1c81faa-c80764c5,CTD-0.30,0.20282129096059912,0.10894108124934812,0.7142098582485695,0.15831276047888299,866,435,228,207,638,26,176,87.13,0,176,0.0,87.13,0,0.0,0,0.0,26,12.87,4.14,15.831,32.598,39.501,131.02,20.981,84.42,2.775,11.1,8.842,35.5,57.6,59.5,58.2,58.8,59.5,72.0,16.1,29.2,3447.0,3450,33
b1c81faa-c80764c5,CTD-0.50,0.23592157356614915,0.13490705349818888,0.74800710689916,0.17634228441184016,866,459,255,204,611,31,171,84.65,0,171,0.0,84.65,0,0.0,0,0.0,31,15.35,4.58,18.454,34.949,41.807,155.91,23.016,102.68,2.787,12.37,9.146,40.86,57.8,59.3,57.9,58.7,59.3,72.9,16.9,32.1,3450.0,3455,36
b1c81faa-c80764c5,CTD-0.70,0.27900103445506286,0.17123634960200984,0.7956911966206105,0.20575039480050025,866,506,275,231,591,53,149,73.76,0,149,0.0,73.76,0,0.0,0,0.0,53,26.24,7.04,30.597,38.947,45.696,270.97,26.344,183.23,2.899,20.13,9.704,67.61,58.4,60.4,58.3,59.3,60.4,79.3,17.6,40.2,3448.0,3453,57
