sequence,system,ap_50,ap_50_95,avg_precision,avg_recall,total_gt,total_preds,total_tp,total_fp,total_fn,infer_count,skip_count,skip_rate_pct,erd_empty_count,predict_count,erd_empty_rate_pct,predict_rate_pct,erd_infer_count,erd_infer_rate_pct,augmented_infer_count,augmented_infer_rate_pct,pure_infer_count,pure_infer_rate_pct,wall_duration_s,avg_frame_time_ms,avg_power_w,max_power_w,energy_j,avg_power_gpu_w,energy_gpu_j,avg_power_cpu_w,energy_cpu_j,avg_power_io_w,energy_io_j,avg_gpu_temp_c,max_gpu_temp_c,avg_cpu_temp_c,max_cpu_temp_c,max_tj_temp_c,avg_gpu_util_pct,avg_cpu_util_pct,avg_emc_util_pct,avg_ram_used_mb,max_ram_used_mb,n_tegrastats_samples
b1c66a42-6f7d68ca,ERD-only,0.7094622465780802,0.5565276355211258,0.9900465897374582,0.3742620346889915,2612,1988,1869,119,743,196,6,2.97,6,0,2.97,0.0,196,97.03,0,0.0,0,0.0,35.85,171.086,38.849,42.882,1389.66,20.403,730.3,9.49,339.18,8.956,320.19,58.1,60.7,60.9,63.0,63.0,57.7,64.4,35.6,3635.0,3724,300
b1c81faa-3df17267,ERD-only,0.23742169138558838,0.19401325585797985,0.9908770690179022,0.1239945417983338,472,118,113,5,359,48,134,73.63,134,0,73.63,0.0,48,26.37,0,0.0,0,0.0,16.8,87.639,31.531,42.883,527.73,12.355,208.13,11.643,193.6,7.533,126.0,57.2,60.8,61.8,62.9,62.9,31.0,81.8,20.6,3612.0,3617,143
b1c81faa-c80764c5,ERD-only,0.47695358779816377,0.3673963553570837,0.9975151047967638,0.24310442958309159,866,422,414,8,452,193,9,4.46,9,0,4.46,0.0,193,95.54,0,0.0,0,0.0,33.98,163.108,40.38,43.281,1370.74,21.409,727.27,9.891,335.46,9.08,308.01,59.5,61.9,62.2,63.8,63.8,59.3,67.2,36.6,3610.0,3615,285
b1c9c847-3bda4659,ERD-only,0.8182033284252338,0.642037568855103,0.9868890047105372,0.43588495587310594,2937,2617,2430,187,507,203,0,0.0,0,0,0.0,0.0,203,100.0,0,0.0,0,0.0,35.43,168.353,40.367,42.883,1429.7,21.575,764.42,9.683,342.79,9.109,322.49,60.3,62.3,63.0,64.3,64.3,60.1,65.3,36.9,3616.0,3621,296
b1ca2e5d-84cf9134,ERD-only,0.6249276022633814,0.40444740450454386,0.9602743014469358,0.34615385287235206,3944,2903,2555,348,1389,203,0,0.0,0,0,0.0,0.0,203,100.0,0,0.0,0,0.0,36.21,171.873,39.45,42.782,1424.11,20.777,750.29,9.627,347.34,9.046,326.48,60.5,62.4,63.4,64.6,64.6,59.4,65.0,36.2,3615.0,3619,307
b1cac6a7-04e33135,ERD-only,0.743271298342177,0.5789645441595676,0.992767019682756,0.39044225146198835,1368,1080,1023,57,345,106,0,0.0,0,0,0.0,0.0,106,100.0,0,0.0,0,0.0,19.04,172.306,38.738,42.383,736.52,20.239,384.96,9.505,180.61,8.994,170.95,60.2,62.3,63.2,64.3,64.3,61.2,64.3,34.9,3614.0,3619,160
b1cd1e94-549d0bfe,ERD-only,0.6993902449843015,0.5369933300856519,0.9856568399388198,0.37033491157220444,1763,1336,1249,87,514,201,2,0.99,2,0,0.99,0.0,201,99.01,0,0.0,0,0.0,35.36,167.77,40.123,43.381,1414.07,21.27,749.76,9.754,343.67,9.098,320.65,60.8,62.8,63.6,64.9,64.9,60.9,65.9,36.7,3612.0,3620,294
b1ceb32e-3f481b43,ERD-only,0.33854038225792227,0.2484123933142303,0.9862872302210463,0.1795868253883521,715,262,245,17,470,83,55,39.86,55,0,39.86,0.0,83,60.14,0,0.0,0,0.0,18.31,127.757,35.512,42.284,646.45,16.824,306.45,10.231,186.08,8.457,153.91,59.7,62.0,63.3,64.5,64.5,52.3,70.3,28.7,3612.0,3618,154
b1ceb32e-51852abe,ERD-only,0.6413590551104347,0.4905719056036447,0.9908088497309809,0.332226241096988,2164,1458,1400,58,764,203,0,0.0,0,0,0.0,0.0,203,100.0,0,0.0,0,0.0,35.93,170.198,39.94,42.883,1430.24,21.164,758.03,9.691,346.96,9.085,325.25,60.8,62.8,63.6,64.8,64.8,59.7,65.3,36.5,3613.0,3619,300
b1cebfb7-284f5117,ERD-only,0.5815770058044221,0.45797461012777496,0.9772004336193728,0.3110855351923558,1956,1258,1162,96,794,202,0,0.0,0,0,0.0,0.0,202,100.0,0,0.0,0,0.0,34.98,166.783,40.863,43.281,1425.61,21.959,766.27,9.756,340.2,9.148,319.14,61.2,63.1,63.9,65.1,65.1,60.9,65.7,37.2,3619.0,3626,295
b1d0091f-75824d0d,ERD-only,0.7622853723588087,0.6547522573677775,0.9949119610558386,0.3900457746977878,1641,1290,1257,33,384,202,0,0.0,0,0,0.0,0.0,202,100.0,0,0.0,0,0.0,35.23,168.415,40.596,43.281,1426.73,21.679,762.3,9.781,343.49,9.136,320.94,61.3,63.4,64.1,65.3,65.3,63.1,66.0,37.0,3621.0,3630,295
b1d0091f-f2c2d2ae,ERD-only,0.6001122447640742,0.47125241078578795,0.98014276596273,0.31626159514205415,2451,1597,1499,98,952,202,0,0.0,0,0,0.0,0.0,202,100.0,0,0.0,0,0.0,35.77,170.093,39.592,42.887,1412.87,20.86,744.72,9.64,343.8,9.092,324.35,61.2,63.3,64.1,65.4,65.4,60.7,64.8,36.5,3621.0,3626,298
b1d0a191-03dcecc2,ERD-only,0.7196426403778902,0.5368454162436075,0.9870941543466366,0.3772025155154329,3220,2481,2345,136,875,202,0,0.0,0,0,0.0,0.0,202,100.0,0,0.0,0,0.0,35.4,168.615,40.121,42.886,1421.58,21.369,757.63,9.642,341.37,9.109,322.57,61.4,63.4,64.2,65.4,65.4,60.0,64.8,36.7,3621.0,3626,297
b1d0a191-06deb55d,ERD-only,0.5933623961122572,0.428369886851473,0.9435235626589323,0.3436746175058852,2441,1817,1523,294,918,191,11,5.45,11,0,5.45,0.0,191,94.55,0,0.0,0,0.0,34.37,163.138,39.282,42.983,1345.64,20.551,704.22,9.683,331.43,9.048,309.99,61.1,63.3,64.1,65.4,65.3,60.6,65.2,35.9,3622.0,3627,285
b1d0a191-28f0e779,ERD-only,0.7433052880908984,0.584400763967514,0.9839603107593577,0.4053878249508922,1615,1346,1215,131,400,186,4,2.11,4,0,2.11,0.0,186,97.89,0,0.0,0,0.0,32.74,165.903,40.336,43.281,1317.53,21.493,702.28,9.732,317.68,9.111,297.56,61.3,63.3,64.2,65.3,65.3,60.6,65.6,36.6,3622.0,3628,275
b1d0a191-2ed2269e,ERD-only,0.7105206582797696,0.5158673696286639,0.9796197227770708,0.3829018269709249,3126,2475,2261,214,865,202,1,0.49,1,0,0.49,0.0,202,99.51,0,0.0,0,0.0,35.52,168.16,40.15,43.281,1426.54,21.401,760.8,9.643,342.41,9.106,323.33,61.5,63.5,64.2,65.6,65.6,60.0,64.8,36.6,3621.0,3626,301
b1d0a191-5490450b,ERD-only,0.6929719705919043,0.5404762497183788,0.9665321885933492,0.38558046623482406,1778,1450,1267,183,511,204,0,0.0,0,0,0.0,0.0,204,100.0,0,0.0,0,0.0,36.0,169.762,39.823,43.281,1432.59,21.038,757.2,9.679,347.95,9.106,327.44,61.4,63.2,64.2,65.5,65.5,60.4,65.2,36.6,3622.0,3628,304
b1d0a191-65deaeef,ERD-only,0.7094738008756469,0.4994798532734698,0.9596534471286622,0.38842507140616156,3276,2697,2415,282,861,199,3,1.49,3,0,1.49,0.0,199,98.51,0,0.0,0,0.0,35.11,166.87,40.216,42.887,1407.54,21.448,750.85,9.668,338.28,9.1,318.41,61.5,63.5,64.2,65.4,65.4,60.6,65.2,36.5,3622.0,3626,295
b1d0a191-de8948f6,ERD-only,0.7040321344961546,0.5724291770598376,0.9866292009897695,0.3736944243450069,2478,1894,1765,129,713,202,0,0.0,0,0,0.0,0.0,202,100.0,0,0.0,0,0.0,35.23,167.663,40.5,43.281,1422.63,21.653,760.86,9.702,340.58,9.145,321.19,61.5,63.5,64.3,65.5,65.5,63.2,65.2,37.0,3625.0,3630,295
b1d10d08-5b108225,ERD-only,0.6002190352046501,0.4812211243522454,0.9977462538627867,0.3046953645123808,2123,1298,1277,21,846,202,0,0.0,0,0,0.0,0.0,202,100.0,0,0.0,0,0.0,35.33,169.343,40.489,43.281,1429.46,21.552,761.25,9.812,346.19,9.125,322.02,61.5,63.2,64.3,65.6,65.6,59.4,66.2,36.8,3625.0,3631,296
b1d10d08-743fd86c,ERD-only,0.3059810620411417,0.25219825939079027,0.9952501825816245,0.16047508162089494,1016,328,312,16,704,162,40,19.8,40,0,19.8,0.0,162,80.2,0,0.0,0,0.0,30.94,148.155,38.548,43.381,1191.78,19.657,608.23,9.995,308.67,8.896,274.88,61.2,63.4,64.3,65.6,65.6,57.9,67.9,34.2,3629.0,3632,261
b1d10d08-c35503b8,ERD-only,0.731485523712645,0.5690229202726365,0.987889318228654,0.386261493942578,3127,2464,2312,152,815,202,0,0.0,0,0,0.0,0.0,202,100.0,0,0.0,0,0.0,36.02,171.923,39.465,42.882,1421.03,20.784,748.69,9.62,346.17,9.062,326.17,61.3,63.2,64.2,65.3,65.3,59.8,64.9,36.2,3624.0,3629,302
b1d10d08-da110fcb,ERD-only,0.8221465644285352,0.687379051453359,0.9934778603482091,0.4300598421620394,2250,1957,1860,97,390,193,1,0.52,1,0,0.52,0.0,193,99.48,0,0.0,0,0.0,34.12,169.701,39.965,43.281,1360.45,21.166,720.73,9.708,330.36,9.091,309.35,61.3,63.3,64.2,65.4,65.4,57.9,65.5,36.4,3630.0,3636,284
b1d10d08-ec660956,ERD-only,0.7262971279198686,0.5898376785098197,0.9921665861808437,0.3751551652121872,2117,1607,1549,58,568,202,0,0.0,0,0,0.0,0.0,202,100.0,0,0.0,0,0.0,35.79,169.778,39.798,42.782,1419.53,21.056,751.3,9.662,344.44,9.08,323.79,61.4,63.2,64.2,65.5,65.5,59.4,65.1,36.4,3630.0,3636,299
b1d22449-117aa773,ERD-only,0.41046540632747675,0.3223849406199916,0.9733997632864212,0.2203928767904182,1193,547,502,45,691,202,0,0.0,0,0,0.0,0.0,202,100.0,0,0.0,0,0.0,35.1,168.332,40.784,43.381,1426.89,21.796,762.91,9.839,343.99,9.149,319.99,61.6,63.8,64.4,65.6,65.6,61.9,66.6,37.1,3628.0,3634,295
