sequence,system,ap_50,ap_50_95,avg_precision,avg_recall,total_gt,total_preds,total_tp,total_fp,total_fn,infer_count,skip_count,skip_rate_pct,erd_empty_count,predict_count,erd_empty_rate_pct,predict_rate_pct,erd_infer_count,erd_infer_rate_pct,augmented_infer_count,augmented_infer_rate_pct,pure_infer_count,pure_infer_rate_pct,wall_duration_s,avg_frame_time_ms,avg_power_w,max_power_w,energy_j,avg_power_gpu_w,energy_gpu_j,avg_power_cpu_w,energy_cpu_j,avg_power_io_w,energy_io_j,avg_gpu_temp_c,max_gpu_temp_c,avg_cpu_temp_c,max_cpu_temp_c,max_tj_temp_c,avg_gpu_util_pct,avg_cpu_util_pct,avg_emc_util_pct,avg_ram_used_mb,max_ram_used_mb,n_tegrastats_samples
b1c66a42-6f7d68ca,FixedSkip-2,0.5968200002687224,0.38790709559555836,0.9350839463660274,0.35180382517442543,2612,2036,1646,390,966,101,101,50.0,0,101,0.0,50.0,0,0.0,0,0.0,101,50.0,13.78,62.463,39.562,44.299,540.32,26.921,367.77,2.929,39.95,9.711,132.6,57.4,59.8,57.5,58.8,59.8,75.5,17.6,43.0,3990.0,4008,113
b1c66a42-6f7d68ca,FixedSkip-3,0.4288321383778859,0.2556011603458802,0.8365119994935125,0.293872122879941,2612,1995,1277,718,1335,68,134,66.34,0,134,0.0,66.34,0,0.0,0,0.0,68,33.66,9.61,41.722,38.189,42.404,363.6,25.749,245.36,2.942,27.91,9.498,90.33,57.8,59.8,57.8,58.8,59.8,75.8,17.4,39.1,4000.0,4005,83
b1c66a42-6f7d68ca,FixedSkip-5,0.2725038319183183,0.15253371903346785,0.6883179332865967,0.22651325664729532,2612,2018,901,1117,1711,41,161,79.7,0,161,0.0,79.7,0,0.0,0,0.0,41,20.3,6.36,25.746,34.931,40.011,218.4,22.99,143.84,2.866,17.86,9.074,56.7,57.0,58.8,57.4,58.4,59.1,68.8,16.6,33.1,4003.0,4004,51
b1c81faa-3df17267,FixedSkip-2,0.359303576627759,0.25073761736848615,0.978090912189736,0.19334880995311937,472,188,173,15,299,91,91,50.0,0,91,0.0,50.0,0,0.0,0,0.0,91,50.0,11.04,56.113,41.887,44.799,463.07,29.334,324.67,2.377,26.05,10.177,112.34,58.6,60.0,58.0,59.2,60.0,77.2,12.8,46.3,4005.0,4008,90
b1c81faa-3df17267,FixedSkip-3,0.30373925384227046,0.20273745679427244,0.9382795872428084,0.1867231638418079,472,195,149,46,323,61,121,66.48,0,121,0.0,66.48,0,0.0,0,0.0,61,33.52,7.77,38.053,39.893,43.314,305.5,27.841,213.29,2.113,16.15,9.939,76.05,58.5,59.9,58.0,58.8,59.9,94.1,11.3,42.5,4003.0,4004,62
b1c81faa-3df17267,FixedSkip-5,0.2083377822439462,0.12447385591079221,0.843677378893151,0.14377723970944312,472,175,110,65,362,37,145,79.67,0,145,0.0,79.67,0,0.0,0,0.0,37,20.33,5.01,23.156,37.583,41.907,186.94,25.797,128.47,2.22,11.01,9.565,47.46,58.2,59.8,57.7,58.7,59.8,87.8,10.8,36.4,4004.0,4006,40
b1c81faa-c80764c5,FixedSkip-2,0.44157695785100004,0.29577804577834355,0.977959424903582,0.23762048813279987,866,426,390,36,476,101,101,50.0,0,101,0.0,50.0,0,0.0,0,0.0,101,50.0,12.21,55.971,42.778,45.21,518.42,29.456,357.11,3.078,37.21,10.244,124.09,59.0,60.3,58.7,60.3,60.3,61.8,18.5,47.3,4005.0,4008,102
b1c81faa-c80764c5,FixedSkip-3,0.39816903276880833,0.2577794494140878,0.9452954941812387,0.2274152295439339,866,428,362,66,504,68,134,66.34,0,134,0.0,66.34,0,0.0,0,0.0,68,33.66,8.72,38.431,40.923,43.802,354.4,28.091,243.34,2.878,24.86,9.953,86.2,58.9,60.3,58.8,59.7,60.3,82.1,18.3,43.4,3994.0,3996,71
b1c81faa-c80764c5,FixedSkip-5,0.3101812106827403,0.17230819083163174,0.8685215295899359,0.20269865708664786,866,432,299,133,567,41,161,79.7,0,161,0.0,79.7,0,0.0,0,0.0,41,20.3,5.7,23.709,37.585,41.907,208.34,25.309,140.5,2.779,15.32,9.497,52.51,58.1,59.8,58.4,59.3,59.8,85.3,17.1,36.6,3991.0,3993,46
b1c9c847-3bda4659,FixedSkip-2,0.6042575178802796,0.38172298767028295,0.8972424850596113,0.37887034165819344,2937,2626,1928,698,1009,102,101,49.75,0,101,0.0,49.75,0,0.0,0,0.0,102,50.25,13.49,60.416,40.121,43.302,537.06,27.415,367.21,2.961,39.55,9.745,130.31,58.4,60.3,58.9,59.9,60.3,77.0,18.2,44.0,3997.0,3999,109
