sequence,system,ap_50,ap_50_95,avg_precision,avg_recall,total_gt,total_preds,total_tp,total_fp,total_fn,infer_count,skip_count,skip_rate_pct,erd_empty_count,predict_count,erd_empty_rate_pct,predict_rate_pct,erd_infer_count,erd_infer_rate_pct,augmented_infer_count,augmented_infer_rate_pct,pure_infer_count,pure_infer_rate_pct,wall_duration_s,avg_frame_time_ms,avg_power_w,max_power_w,energy_j,avg_power_gpu_w,energy_gpu_j,avg_power_cpu_w,energy_cpu_j,avg_power_io_w,energy_io_j,avg_gpu_temp_c,max_gpu_temp_c,avg_cpu_temp_c,max_cpu_temp_c,max_tj_temp_c,avg_gpu_util_pct,avg_cpu_util_pct,avg_emc_util_pct,avg_ram_used_mb,max_ram_used_mb,n_tegrastats_samples
b1c66a42-6f7d68ca,Statues-25,0.7163709378971357,0.5618584237478154,0.9901771157898736,0.3777333772037639,2612,2006,1887,119,725,202,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,202,100.0,25.61,119.693,40.752,43.489,1038.5,29.069,740.94,1.639,41.69,10.044,255.86,58.1,60.2,57.5,59.0,60.2,75.5,7.2,48.0,3519.0,3529,210
b1c66a42-6f7d68ca,Statues-75,0.717453039360702,0.5621270455899898,0.9901067595924157,0.3782563075654196,2612,2009,1890,119,722,200,2,0.99,0,2,0.0,0.99,0,0.0,0,0.0,200,99.01,24.49,114.274,42.11,43.489,1029.64,30.242,739.58,1.612,39.34,10.255,250.72,59.8,61.2,58.7,59.7,61.2,93.5,6.9,49.3,3526.0,3532,197
b1c66a42-6f7d68ca,Statues-200,0.7159549964053502,0.5603727504916932,0.9895991805811454,0.37757034910737375,2612,2007,1887,120,725,198,4,1.98,0,4,0.0,1.98,0,0.0,0,0.0,198,98.02,24.5,114.16,41.484,43.489,1010.32,29.696,723.27,1.613,39.22,10.176,247.84,60.3,61.6,59.5,60.5,61.6,75.9,7.1,48.7,3528.0,3531,196
b1c66a42-6f7d68ca,Statues-500,0.7080486419366401,0.5549845763024759,0.9862739972370683,0.3752089913042814,2612,2005,1872,133,740,193,9,4.46,0,9,0.0,4.46,0,0.0,0,0.0,193,95.54,24.01,111.742,41.42,43.501,990.29,29.653,709.17,1.621,38.62,10.146,242.5,60.8,62.3,60.0,60.8,62.3,86.1,7.1,48.5,3529.0,3534,192
b1c81faa-3df17267,Statues-25,0.3660396839651424,0.29779898253605935,0.9922821552229563,0.190162936604551,472,181,174,7,298,177,5,2.75,0,5,0.0,2.75,0,0.0,0,0.0,177,97.25,21.34,111.6,42.359,44.088,901.85,30.404,647.5,1.617,34.33,10.337,220.02,61.3,62.9,60.4,61.3,62.9,84.0,7.2,49.6,3531.0,3535,174
b1c81faa-3df17267,Statues-75,0.32370978226109204,0.25196979963863747,0.9340330577237481,0.17507599484156228,472,184,163,21,309,145,37,20.33,0,37,0.0,20.33,0,0.0,0,0.0,145,79.67,17.8,92.329,41.897,43.988,741.66,30.024,531.53,1.62,28.63,10.253,181.51,61.6,62.8,60.7,61.6,62.8,80.4,7.2,48.8,3532.0,3535,141
b1c81faa-3df17267,Statues-200,0.2521309321924054,0.20557986612034235,0.9909881233176037,0.13132203389830507,472,125,120,5,352,115,67,36.81,0,67,0.0,36.81,0,0.0,0,0.0,115,63.19,14.43,74.112,41.422,43.988,592.61,29.586,423.29,1.63,23.25,10.206,146.08,61.6,62.9,61.0,62.2,62.9,83.4,7.4,48.0,3528.0,3530,115
b1c81faa-3df17267,Statues-500,0.2521309321924054,0.20557986612034235,0.9909881233176037,0.13132203389830507,472,125,120,5,352,112,70,38.46,0,70,0.0,38.46,0,0.0,0,0.0,112,61.54,14.07,72.144,41.102,44.088,578.92,29.311,413.29,1.637,22.85,10.153,142.79,61.5,62.8,60.9,61.8,62.8,77.7,7.3,47.5,3528.0,3532,115
b1c81faa-c80764c5,Statues-25,0.48841780785797273,0.37419213003783397,0.9973666022062447,0.24935862903957032,866,433,424,9,442,198,4,1.98,0,4,0.0,1.98,0,0.0,0,0.0,198,98.02,24.01,113.028,42.123,43.988,1005.53,30.22,721.59,1.602,38.16,10.301,245.78,62.0,63.7,61.3,62.2,63.7,80.4,7.3,49.7,3527.0,3530,193
b1c81faa-c80764c5,Statues-75,0.4975354860751262,0.37174995820711965,0.9971818221786858,0.25387922682544917,866,441,432,9,434,192,10,4.95,0,10,0.0,4.95,0,0.0,0,0.0,192,95.05,23.29,109.622,42.21,43.988,979.9,30.264,702.94,1.613,37.3,10.333,239.66,62.4,63.6,61.7,62.4,63.6,81.7,7.3,49.7,3528.0,3530,187
b1c81faa-c80764c5,Statues-200,0.4572475916298757,0.34662734841805853,0.9796351916189864,0.23661681926632053,866,423,404,19,462,181,21,10.4,0,21,0.0,10.4,0,0.0,0,0.0,181,89.6,21.99,103.352,42.121,44.075,922.46,30.184,661.38,1.621,35.35,10.315,225.73,62.5,63.8,61.8,62.5,63.8,85.2,7.1,49.5,3526.0,3530,177
b1c81faa-c80764c5,Statues-500,0.4582718780237971,0.3347495255178314,0.9813690612837682,0.2479498902611316,866,443,403,40,463,157,45,22.28,0,45,0.0,22.28,0,0.0,0,0.0,157,77.72,19.32,90.276,41.386,43.988,798.28,29.578,570.81,1.623,31.17,10.185,196.31,62.3,63.5,61.8,62.4,63.5,74.6,7.2,48.4,3525.0,3529,156
b1c9c847-3bda4659,Statues-25,0.8182033284252338,0.642037568855103,0.9868890047105372,0.43588495587310594,2937,2617,2430,187,507,203,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,203,100.0,25.12,116.864,41.732,43.988,1043.94,29.903,748.13,1.611,40.24,10.217,255.57,62.6,63.9,62.0,63.0,63.9,76.2,7.1,48.9,3525.0,3530,205
b1c9c847-3bda4659,Statues-75,0.8182033284252338,0.642037568855103,0.9868890047105372,0.43588495587310594,2937,2617,2430,187,507,203,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,203,100.0,25.22,117.551,41.664,43.489,1051.45,29.825,753.04,1.625,40.83,10.214,257.58,62.7,63.8,62.0,62.6,63.8,84.4,7.1,48.5,3526.0,3532,205
b1c9c847-3bda4659,Statues-200,0.8182033284252338,0.642037568855103,0.9868890047105372,0.43588495587310594,2937,2617,2430,187,507,203,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,203,100.0,25.3,117.849,41.47,43.489,1048.9,29.668,750.81,1.625,40.89,10.177,257.19,62.5,63.9,61.9,62.6,63.9,81.9,7.1,48.5,3528.0,3532,204
b1c9c847-3bda4659,Statues-500,0.8182033284252338,0.642037568855103,0.9868890047105372,0.43588495587310594,2937,2617,2430,187,507,203,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,203,100.0,25.32,117.524,41.383,43.389,1047.67,29.593,749.65,1.62,40.77,10.17,257.25,62.5,63.8,61.8,62.6,63.8,77.4,7.2,48.3,3530.0,3532,204
b1ca2e5d-84cf9134,Statues-25,0.6249276022633814,0.40444740450454386,0.9602743014469358,0.34615385287235206,3944,2903,2555,348,1389,203,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,203,100.0,25.43,118.251,41.16,43.003,1044.15,29.385,745.56,1.637,41.43,10.138,257.16,62.2,63.7,61.8,62.5,63.7,67.6,7.1,48.2,3534.0,3537,204
b1ca2e5d-84cf9134,Statues-75,0.6249276022633814,0.40444740450454386,0.9602743014469358,0.34615385287235206,3944,2903,2555,348,1389,203,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,203,100.0,25.37,117.609,41.56,43.49,1053.09,29.735,753.61,1.644,41.58,10.181,257.9,62.4,63.8,61.7,62.5,63.8,84.1,7.1,48.4,3533.0,3536,206
b1ca2e5d-84cf9134,Statues-200,0.6249276022633814,0.40444740450454386,0.9602743014469358,0.34615385287235206,3944,2903,2555,348,1389,203,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,203,100.0,25.47,118.133,41.281,43.489,1047.74,29.512,749.36,1.621,40.96,10.148,257.42,62.2,63.6,61.6,62.3,63.6,71.2,7.3,48.1,3542.0,3544,204
b1ca2e5d-84cf9134,Statues-500,0.6242196500992756,0.4035606272813025,0.9598637765038429,0.3460494093619209,3944,2904,2553,351,1391,202,1,0.49,0,1,0.0,0.49,0,0.0,0,0.0,202,99.51,25.24,117.354,41.469,43.091,1044.12,29.644,746.53,1.644,41.27,10.181,256.31,62.3,63.3,61.6,62.3,63.3,79.3,7.1,48.3,3542.0,3545,201
b1cac6a7-04e33135,Statues-25,0.7446795914023929,0.5799324755398685,0.9926709282024969,0.3914598553941024,1368,1083,1025,58,343,105,1,0.94,0,1,0.0,0.94,0,0.0,0,0.0,105,99.06,13.11,115.663,41.001,43.489,532.12,29.26,379.91,1.637,21.16,10.103,131.05,61.7,63.2,61.2,61.8,63.2,82.5,6.8,46.3,3544.0,3549,106
