sequence,system,ap_50,ap_50_95,avg_precision,avg_recall,total_gt,total_preds,total_tp,total_fp,total_fn,infer_count,skip_count,skip_rate_pct,erd_empty_count,predict_count,erd_empty_rate_pct,predict_rate_pct,erd_infer_count,erd_infer_rate_pct,augmented_infer_count,augmented_infer_rate_pct,pure_infer_count,pure_infer_rate_pct,wall_duration_s,avg_frame_time_ms,avg_power_w,max_power_w,energy_j,avg_power_gpu_w,energy_gpu_j,avg_power_cpu_w,energy_cpu_j,avg_power_io_w,energy_io_j,avg_gpu_temp_c,max_gpu_temp_c,avg_cpu_temp_c,max_cpu_temp_c,max_tj_temp_c,avg_gpu_util_pct,avg_cpu_util_pct,avg_emc_util_pct,avg_ram_used_mb,max_ram_used_mb,n_tegrastats_samples
b1c66a42-6f7d68ca,Vanilla,0.6452693101993421,0.4888057141454766,0.993211474667396,0.3337536775595684,2612,1763,1696,67,916,202,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,202,100.0,10.24,45.224,41.824,84.2,418.43,17.621,175.55,8.579,85.65,7.476,74.58,48.8,49.6,48.5,49.4,49.6,31.3,6.1,7.4,6318.0,6330,79
b1c66a42-6f7d68ca,Adaptive,0.6498842213095086,0.44985884008591503,0.9727720820587009,0.36749242481298816,2612,2013,1730,283,882,183,19,9.41,0,19,0.0,9.41,1,0.5,132,65.35,50,24.75,10.58,45.626,37.16,66.786,382.59,13.842,143.52,8.004,82.53,7.259,74.99,48.6,49.1,48.1,48.6,49.1,36.7,5.8,7.7,6302.0,6328,79
b1c81faa-3df17267,Vanilla,0.35138138381804973,0.26813578152797557,0.9926204112101871,0.1819829528754776,472,173,167,6,305,182,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,182,100.0,7.95,39.402,50.444,85.128,385.78,20.067,155.67,8.643,66.7,7.598,58.71,49.2,49.6,47.8,48.1,49.6,41.3,5.9,8.4,6273.0,6285,62
b1c81faa-3df17267,Adaptive,0.23339413190588953,0.15526449991418198,0.970900334428943,0.12809389292440138,472,126,113,13,359,36,146,80.22,129,17,70.88,9.34,4,2.2,10,5.49,22,12.09,7.71,38.894,32.38,84.128,242.79,7.055,52.71,11.007,82.68,7.011,52.59,48.0,49.4,49.1,50.2,51.0,7.9,26.2,4.7,6235.0,6301,59
b1c81faa-c80764c5,Vanilla,0.456556179036346,0.33673923037763537,0.9982321725782525,0.23305913154825877,866,404,396,8,470,202,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,202,100.0,8.91,39.852,39.615,81.582,342.14,19.866,171.23,8.677,74.48,7.595,65.27,48.8,49.2,47.5,48.6,49.2,30.6,5.9,8.3,6161.0,6168,69
b1c81faa-c80764c5,Adaptive,0.4613565830931019,0.30125741339967294,0.9891960656301662,0.2464027628484158,866,434,403,31,463,123,79,39.11,8,71,3.96,35.15,6,2.97,28,13.86,89,44.06,7.39,31.864,36.665,81.176,262.33,13.98,99.54,8.428,59.96,7.301,52.04,48.2,48.7,47.8,49.8,49.8,32.8,8.0,7.5,6195.0,6198,55
b1c9c847-3bda4659,Vanilla,0.741784865791796,0.5726215232681449,0.9824022572163307,0.398129122423609,2937,2408,2212,196,725,203,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,203,100.0,10.42,45.374,41.085,85.23,418.9,16.781,170.97,8.233,83.68,7.436,75.62,48.3,48.8,47.5,48.2,48.8,33.8,5.9,8.6,6190.0,6201,78
b1c9c847-3bda4659,Adaptive,0.7338900321949072,0.5020556834136145,0.9461545493550254,0.43853018273900746,2937,2822,2237,585,700,196,7,3.45,0,7,0.0,3.45,1,0.49,169,83.25,26,12.81,9.73,42.716,41.784,80.222,392.73,17.103,162.59,8.497,80.53,7.431,70.48,48.2,48.4,47.6,48.1,48.4,34.8,5.8,7.7,6182.0,6188,76
b1ca2e5d-84cf9134,Vanilla,0.5777407544414821,0.37993061040881076,0.9820264652263332,0.3052222642417574,3944,2478,2317,161,1627,203,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,203,100.0,9.75,42.402,41.771,82.118,395.85,18.193,174.23,8.473,80.81,7.498,71.61,48.1,48.6,47.4,48.0,48.6,34.0,5.8,8.3,6185.0,6193,75
b1ca2e5d-84cf9134,Adaptive,0.5950997334174901,0.3752431776208639,0.9617208458488903,0.3435939660436421,3944,2890,2413,477,1531,198,5,2.46,0,5,0.0,2.46,1,0.49,169,83.25,28,13.79,10.81,47.524,41.346,83.004,436.23,15.58,164.23,8.313,87.36,7.366,77.47,47.7,48.2,47.1,47.8,48.2,35.2,5.8,7.9,6204.0,6208,83
