sequence,system,ap_50,ap_50_95,avg_precision,avg_recall,total_gt,total_preds,total_tp,total_fp,total_fn,infer_count,skip_count,skip_rate_pct,erd_empty_count,predict_count,erd_empty_rate_pct,predict_rate_pct,erd_infer_count,erd_infer_rate_pct,augmented_infer_count,augmented_infer_rate_pct,pure_infer_count,pure_infer_rate_pct,wall_duration_s,avg_frame_time_ms,avg_power_w,max_power_w,energy_j,avg_power_gpu_w,energy_gpu_j,avg_power_cpu_w,energy_cpu_j,avg_power_io_w,energy_io_j,avg_gpu_temp_c,max_gpu_temp_c,avg_cpu_temp_c,max_cpu_temp_c,max_tj_temp_c,avg_gpu_util_pct,avg_cpu_util_pct,avg_emc_util_pct,avg_ram_used_mb,max_ram_used_mb,n_tegrastats_samples
b1c66a42-6f7d68ca,Vanilla,0.7163693923337391,0.5619804000621349,0.9901501589973639,0.3779037915534526,2612,2007,1887,120,725,202,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,202,100.0,14.5,60.558,63.003,94.926,898.27,29.309,418.42,11.999,170.97,11.487,163.71,39.1,41.7,37.2,39.1,41.7,66.8,5.0,33.4,5787.0,5831,113
b1c66a42-6f7d68ca,Adaptive,0.7364443292667894,0.5209290061841003,0.9682458268709248,0.42128795071098535,2612,2326,1966,360,646,187,15,7.43,0,15,0.0,7.43,1,0.5,140,69.31,46,22.77,13.8,56.882,62.115,95.618,840.57,28.651,389.75,11.761,159.74,11.329,153.95,41.6,43.0,39.5,40.8,43.0,64.0,4.8,33.3,5706.0,5734,108
b1c81faa-3df17267,Vanilla,0.3660027018920658,0.29607736730521783,0.9921851965204671,0.19013952617286262,472,181,174,7,298,182,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,182,100.0,11.56,54.829,61.242,92.754,690.92,32.336,366.83,12.572,142.32,12.143,137.56,43.3,44.6,41.0,42.1,44.6,68.3,4.4,37.7,5653.0,5655,91
b1c81faa-3df17267,Adaptive,0.24548148492108862,0.1761207951982747,0.975077642194193,0.13802573760200879,472,135,118,17,354,37,145,79.67,126,19,69.23,10.44,4,2.2,8,4.4,25,13.74,8.63,42.664,39.739,91.598,328.56,12.101,100.2,11.486,95.79,8.299,69.05,41.6,44.2,41.7,42.9,44.2,20.9,23.4,17.1,5716.0,5724,65
b1c81faa-c80764c5,Vanilla,0.4872662137864092,0.3739796356333006,0.9973663657680463,0.24878378667350953,866,432,423,9,443,202,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,202,100.0,12.45,53.709,69.552,92.248,843.12,33.195,403.3,12.869,156.1,12.364,150.06,44.0,45.4,41.8,42.8,45.4,75.8,4.5,38.5,5676.0,5684,92
b1c81faa-c80764c5,Adaptive,0.49313670031730283,0.34350238066506944,0.9811409524581519,0.2662452898991127,866,475,434,41,432,128,74,36.63,1,73,0.5,36.14,1,0.5,35,17.33,92,45.54,8.76,35.348,68.89,96.356,589.77,30.515,261.04,12.384,105.63,11.791,100.66,45.0,46.0,42.7,43.2,46.0,71.9,4.8,35.9,5668.0,5669,66
b1c9c847-3bda4659,Vanilla,0.8175581551040629,0.6416053536911345,0.9868960712456751,0.4357221581863372,2937,2616,2428,188,509,203,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,203,100.0,13.5,56.512,58.891,93.434,779.42,31.672,421.58,12.503,166.28,11.991,159.51,45.7,46.9,43.5,44.3,46.9,61.7,4.5,37.0,5663.0,5669,103
b1c9c847-3bda4659,Adaptive,0.8200540428193968,0.5577048313772691,0.9577302875620662,0.48471640169497465,2937,3065,2473,592,464,199,4,1.97,0,4,0.0,1.97,1,0.49,175,86.21,23,11.33,14.6,61.976,62.661,96.496,896.98,29.054,417.04,12.091,173.22,11.455,164.24,45.9,47.0,44.0,44.8,47.0,63.2,5.0,33.2,5678.0,5709,111
b1ca2e5d-84cf9134,Vanilla,0.6246715086807099,0.4042443820467282,0.960254787859114,0.34602797189599954,3944,2902,2554,348,1390,203,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,203,100.0,13.89,58.051,71.138,94.09,962.68,30.935,421.41,12.378,168.31,11.867,161.47,46.7,47.7,44.6,45.2,47.7,77.3,4.5,35.3,5665.0,5666,105
b1ca2e5d-84cf9134,Adaptive,0.6536340011860569,0.40321438746983185,0.9259044862993943,0.40025397702668825,3944,3560,2725,835,1219,197,6,2.96,0,6,0.0,2.96,1,0.49,175,86.21,21,10.34,15.28,64.538,60.679,96.488,904.95,27.965,419.43,11.787,176.41,11.204,167.79,46.6,47.7,44.6,45.2,47.7,60.6,4.8,31.6,5669.0,5670,114
b1cac6a7-04e33135,Vanilla,0.7432606842451018,0.5788916731208538,0.9927531423970958,0.3904327756118691,1368,1080,1023,57,345,106,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,106,100.0,7.2,56.192,63.397,95.9,437.67,30.434,213.04,12.333,85.98,11.739,81.93,46.9,48.0,44.8,45.3,48.0,68.3,4.6,33.2,5670.0,5670,55
b1cac6a7-04e33135,Adaptive,0.7721675208046905,0.5873247854785161,0.9831143681396359,0.4138834834291231,1368,1163,1072,91,296,86,20,18.87,0,20,0.0,18.87,1,0.94,51,48.11,34,32.08,6.59,50.05,60.215,95.448,384.92,27.712,176.3,11.772,74.64,11.177,70.96,47.1,47.7,45.0,45.5,47.7,63.9,4.7,31.2,5673.0,5679,49
b1cd1e94-549d0bfe,Vanilla,0.7038490770492518,0.5403329011239961,0.9856511667864408,0.3725559955973314,1763,1344,1257,87,506,203,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,203,100.0,13.27,54.945,61.543,91.928,799.06,32.064,418.97,12.665,165.35,12.099,158.02,48.1,49.7,45.9,46.7,49.7,64.3,4.5,37.4,5679.0,5680,101
b1cd1e94-549d0bfe,Adaptive,0.7057066437582594,0.49836709475718016,0.9657644208797597,0.4031338156230979,1763,1505,1276,229,487,172,31,15.27,0,31,0.0,15.27,1,0.49,98,48.28,73,35.96,12.03,48.553,66.596,92.272,788.6,30.145,356.97,12.268,144.92,11.713,138.49,48.4,49.3,46.3,46.8,49.3,70.3,4.8,35.0,5673.0,5680,94
b1ceb32e-3f481b43,Vanilla,0.36958234839675386,0.265388894995996,0.9726385833485266,0.1995526359162723,715,297,271,26,444,138,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,138,100.0,8.41,52.938,72.358,94.232,588.98,33.626,275.2,13.036,106.47,12.443,101.7,49.2,50.2,46.9,47.7,50.2,79.1,4.4,38.5,5679.0,5683,66
b1ceb32e-3f481b43,Adaptive,0.37705329947881083,0.22393102075673746,0.9275727287960123,0.2268315706332235,715,363,286,77,429,88,50,36.23,29,21,21.01,15.22,6,4.35,40,28.99,42,30.43,7.5,47.286,53.711,89.762,389.23,25.171,182.84,12.241,89.01,10.804,78.52,48.5,50.2,47.1,48.6,50.2,51.2,10.2,30.8,5672.0,5683,57
