sequence,system,ap_50,ap_50_95,avg_precision,avg_recall,total_gt,total_preds,total_tp,total_fp,total_fn,infer_count,skip_count,skip_rate_pct,erd_empty_count,predict_count,erd_empty_rate_pct,predict_rate_pct,erd_infer_count,erd_infer_rate_pct,augmented_infer_count,augmented_infer_rate_pct,pure_infer_count,pure_infer_rate_pct,wall_duration_s,avg_frame_time_ms,avg_power_w,max_power_w,energy_j,avg_power_gpu_w,energy_gpu_j,avg_power_cpu_w,energy_cpu_j,avg_power_io_w,energy_io_j,avg_gpu_temp_c,max_gpu_temp_c,avg_cpu_temp_c,max_cpu_temp_c,max_tj_temp_c,avg_gpu_util_pct,avg_cpu_util_pct,avg_emc_util_pct,avg_ram_used_mb,max_ram_used_mb,n_tegrastats_samples
b1c66a42-6f7d68ca,Adaptive,0.6547149257923837,0.43524811571418615,0.9407877413352593,0.3971503825805488,2612,2287,1781,506,831,140,62,30.69,0,62,0.0,30.69,1,0.5,113,55.94,26,12.87,10.45,41.221,63.209,97.936,645.09,28.829,294.74,12.49,127.3,11.358,115.83,57.0,58.8,55.2,56.2,58.8,61.8,5.1,31.4,4622.0,4641,81
b1c81faa-3df17267,Adaptive,0.2295356430807224,0.15517461311270414,0.9446113110792353,0.1363650121065375,472,140,113,27,359,30,152,83.52,125,27,68.68,14.84,4,2.2,7,3.85,19,10.44,8.21,40.453,35.517,89.35,286.64,10.589,85.98,12.149,97.31,8.384,67.31,55.4,58.0,55.8,56.7,58.0,13.6,25.0,14.7,4642.0,4652,62
b1c81faa-c80764c5,Adaptive,0.4678673047325949,0.3063274134458454,0.9511825684790688,0.27236562061314135,866,510,421,89,445,100,102,50.5,1,101,0.5,50.0,1,0.5,42,20.79,57,28.22,6.98,26.283,64.165,95.69,433.15,29.834,202.99,12.692,86.04,11.526,78.23,57.1,58.5,55.2,56.2,58.5,62.2,5.1,31.8,4653.0,4667,55
b1c9c847-3bda4659,Adaptive,0.7315105719308763,0.48143230572725243,0.9263984163658608,0.4604188503594005,2937,3058,2249,809,688,155,48,23.65,0,48,0.0,23.65,1,0.49,137,67.49,17,8.37,11.35,45.109,61.578,105.8,683.75,29.268,326.64,12.525,139.64,11.398,127.1,57.9,59.2,56.3,57.1,59.2,54.3,5.0,33.8,4661.0,4666,88
b1ca2e5d-84cf9134,Adaptive,0.6075482169790354,0.36214314386093005,0.9098019456771177,0.3834388979369146,3944,3491,2563,928,1381,157,46,22.66,0,46,0.0,22.66,1,0.49,141,69.46,15,7.39,12.09,48.292,63.01,105.934,744.18,28.04,333.38,12.348,146.49,11.178,132.62,57.9,58.7,56.3,56.9,58.7,55.5,5.1,31.6,4661.0,4664,93
b1cac6a7-04e33135,Adaptive,0.7771565729793724,0.5787812239834434,0.979770264771672,0.4237477911528961,1368,1198,1081,117,287,64,42,39.62,0,42,0.0,39.62,1,0.94,43,40.57,20,18.87,4.99,35.302,61.384,99.72,290.18,26.932,127.66,12.132,57.27,10.935,51.7,57.6,58.6,55.7,56.2,58.6,58.3,4.9,27.9,4656.0,4664,38
b1cd1e94-549d0bfe,Adaptive,0.6599579943943857,0.45039751164699193,0.9484733199238551,0.39249845013969453,1763,1506,1207,299,556,133,70,34.48,0,70,0.0,34.48,1,0.49,90,44.33,42,20.69,9.64,36.441,66.633,105.548,624.95,29.39,277.87,12.625,119.12,11.402,107.65,58.0,59.2,56.1,56.6,59.2,61.7,5.0,33.5,4659.0,4664,73
b1ceb32e-3f481b43,Adaptive,0.2976630734585835,0.17792272616007146,0.8566548711143007,0.20021938845468257,715,357,239,118,476,63,75,54.35,28,47,20.29,34.06,4,2.9,29,21.01,30,21.74,5.75,34.872,62.093,103.256,344.48,23.367,128.74,12.588,69.44,10.45,57.61,57.6,59.2,56.1,56.8,59.2,52.8,11.4,27.3,4652.0,4663,43
b1ceb32e-51852abe,Adaptive,0.6430391584957081,0.4542765452297168,0.970010898674945,0.3579715764327594,2164,1628,1426,202,738,127,76,37.44,0,76,0.0,37.44,1,0.49,89,43.84,37,18.23,8.75,33.067,50.71,103.036,430.98,30.886,264.68,12.865,110.02,11.696,100.08,58.3,59.2,56.4,57.0,59.2,46.5,4.8,35.4,4644.0,4645,67
b1cebfb7-284f5117,Adaptive,0.4725994011125474,0.29966298260073626,0.8893058535404549,0.30944677570444445,1956,1443,1002,441,954,121,81,40.1,0,81,0.0,40.1,1,0.5,71,35.15,49,24.26,8.26,32.014,51.636,99.16,411.84,30.692,246.58,12.835,102.83,11.656,93.47,58.4,59.6,56.5,57.0,59.6,44.2,4.8,34.5,4645.0,4646,63
