sequence,system,ap_50,ap_50_95,avg_precision,avg_recall,total_gt,total_preds,total_tp,total_fp,total_fn,infer_count,skip_count,skip_rate_pct,erd_empty_count,predict_count,erd_empty_rate_pct,predict_rate_pct,erd_infer_count,erd_infer_rate_pct,augmented_infer_count,augmented_infer_rate_pct,pure_infer_count,pure_infer_rate_pct,wall_duration_s,avg_frame_time_ms,avg_power_w,max_power_w,energy_j,avg_power_gpu_w,energy_gpu_j,avg_power_cpu_w,energy_cpu_j,avg_power_io_w,energy_io_j,avg_gpu_temp_c,max_gpu_temp_c,avg_cpu_temp_c,max_cpu_temp_c,max_tj_temp_c,avg_gpu_util_pct,avg_cpu_util_pct,avg_emc_util_pct,avg_ram_used_mb,max_ram_used_mb,n_tegrastats_samples
b1c66a42-6f7d68ca,CTD-0.30,0.6327971961351317,0.44071317374795055,0.911258511059966,0.41968545510579996,2612,2564,1715,849,897,154,48,23.76,0,48,0.0,23.76,0,0.0,0,0.0,154,76.24,13.16,53.749,56.829,90.09,734.32,25.954,336.4,11.264,145.62,10.681,138.15,45.1,47.1,42.9,44.7,47.1,59.7,5.0,28.1,4652.0,4681,98
b1c66a42-6f7d68ca,CTD-0.50,0.6742797213022387,0.47281152499292034,0.9203046225504913,0.43962124382544665,2612,2642,1824,818,788,167,35,17.33,0,35,0.0,17.33,0,0.0,0,0.0,167,82.67,12.64,53.015,64.995,94.954,806.71,28.408,353.9,11.843,147.11,11.202,139.25,47.4,48.6,45.2,46.2,48.6,68.8,4.6,32.2,4679.0,4680,95
b1c66a42-6f7d68ca,CTD-0.70,0.6780454656040584,0.4762313653338473,0.9218516461057688,0.44097123842401464,2612,2643,1833,810,779,169,33,16.34,0,33,0.0,16.34,0,0.0,0,0.0,169,83.66,12.78,53.649,62.573,91.396,786.16,28.514,358.38,11.872,148.87,11.24,141.07,48.6,49.7,46.4,47.1,49.7,66.0,4.6,32.2,4668.0,4678,97
b1c66a42-6f7d68ca,CTD-0.90,0.6943387560915002,0.48894669088235065,0.9313285219399916,0.44254940036077006,2612,2608,1873,735,739,184,18,8.91,0,18,0.0,8.91,0,0.0,0,0.0,184,91.09,13.6,57.44,61.51,94.348,826.13,29.099,391.25,11.983,160.46,11.367,152.35,49.4,50.4,47.2,48.0,50.4,65.4,4.7,33.0,4656.0,4660,106
b1c81faa-3df17267,CTD-0.30,0.1782849904207908,0.11427883490091897,0.7726268660421048,0.1412536380756719,472,198,93,105,379,98,84,46.15,0,84,0.0,46.15,0,0.0,0,0.0,98,53.85,6.99,30.526,59.651,92.912,402.62,29.9,200.98,12.285,82.17,11.53,77.23,49.9,50.8,47.7,48.4,50.8,65.2,4.6,33.2,4653.0,4658,51
b1c81faa-3df17267,CTD-0.50,0.201975178285483,0.13101833544191038,0.8772756331198641,0.144193160164477,472,169,98,71,374,101,81,44.51,0,81,0.0,44.51,0,0.0,0,0.0,101,55.49,6.84,30.925,60.502,96.018,395.47,31.339,207.26,12.515,82.45,11.876,78.32,50.5,51.5,48.3,48.9,51.5,65.0,4.5,35.8,4654.0,4654,50
b1c81faa-3df17267,CTD-0.70,0.2033910343401523,0.13780069093005204,0.8782402030715077,0.1459510357815443,472,171,98,73,374,104,78,42.86,0,78,0.0,42.86,0,0.0,0,0.0,104,57.14,6.98,31.686,61.045,92.482,410.61,31.623,213.02,12.604,84.6,11.922,80.09,51.0,52.2,48.9,49.7,52.2,66.5,4.3,36.1,4652.0,4652,52
b1c81faa-3df17267,CTD-0.90,0.27207864613242766,0.19213262838853676,0.9308381730718797,0.1763233028188163,472,187,132,55,340,122,60,32.97,0,60,0.0,32.97,0,0.0,0,0.0,122,67.03,8.01,37.168,71.945,90.344,559.33,31.996,249.67,12.674,98.62,12.029,93.67,51.5,52.2,49.5,50.2,52.2,80.5,4.3,37.1,4649.0,4653,60
b1c81faa-c80764c5,CTD-0.30,0.20282129096059912,0.10889695845217047,0.7142098582485695,0.15831276047888299,866,435,228,207,638,26,176,87.13,0,176,0.0,87.13,0,0.0,0,0.0,26,12.87,3.03,7.86,49.428,91.278,136.09,19.351,53.71,10.006,27.65,9.255,25.62,50.2,51.2,48.9,49.4,51.2,40.5,5.6,27.2,4652.0,4657,22
b1c81faa-c80764c5,CTD-0.50,0.23592157356614915,0.13486509338256675,0.74800710689916,0.17634228441184016,866,459,255,204,611,31,171,84.65,0,171,0.0,84.65,0,0.0,0,0.0,31,15.35,2.95,9.269,56.043,87.064,149.5,21.83,58.78,10.632,28.55,9.807,26.39,50.3,51.1,48.6,49.4,51.1,60.3,4.9,25.4,4650.0,4652,21
