sequence,system,ap_50,ap_50_95,avg_precision,avg_recall,total_gt,total_preds,total_tp,total_fp,total_fn,infer_count,skip_count,skip_rate_pct,erd_empty_count,predict_count,erd_empty_rate_pct,predict_rate_pct,erd_infer_count,erd_infer_rate_pct,augmented_infer_count,augmented_infer_rate_pct,pure_infer_count,pure_infer_rate_pct,wall_duration_s,avg_frame_time_ms,avg_power_w,max_power_w,energy_j,avg_power_gpu_w,energy_gpu_j,avg_power_cpu_w,energy_cpu_j,avg_power_io_w,energy_io_j,avg_gpu_temp_c,max_gpu_temp_c,avg_cpu_temp_c,max_cpu_temp_c,max_tj_temp_c,avg_gpu_util_pct,avg_cpu_util_pct,avg_emc_util_pct,avg_ram_used_mb,max_ram_used_mb,n_tegrastats_samples
b1c66a42-6f7d68ca,ERD-only,0.7094603154980066,0.5566494717929535,0.990018672837944,0.37443207934605105,2612,1989,1869,120,743,196,6,2.97,6,0,2.97,0.0,196,97.03,0,0.0,0,0.0,26.86,124.333,39.729,84.442,1060.27,18.777,500.07,10.729,285.33,9.404,250.16,51.3,52.6,50.2,52.2,52.6,25.0,14.7,24.8,4690.0,4773,207
b1c81faa-3df17267,ERD-only,0.23742169138558838,0.19400390260076025,0.9908770690179022,0.1239945417983338,472,118,113,5,359,48,134,73.63,134,0,73.63,0.0,48,26.37,0,0.0,0,0.0,12.56,64.888,40.585,83.136,500.53,11.528,142.94,11.214,138.58,8.12,100.4,50.7,52.3,50.8,51.6,52.7,26.5,23.4,15.1,4616.0,4637,96
b1c81faa-c80764c5,ERD-only,0.4769686710504756,0.36742391168685795,0.9975463125555338,0.24311811127042673,866,422,414,8,452,193,9,4.46,9,0,4.46,0.0,193,95.54,0,0.0,0,0.0,25.77,121.39,43.001,88.656,1100.76,18.96,483.22,10.807,275.05,9.443,240.48,51.1,52.1,49.9,51.0,52.1,32.1,15.1,25.3,4596.0,4610,198
b1c9c847-3bda4659,ERD-only,0.8175581551040629,0.6416053536911345,0.9868960712456751,0.4357221581863372,2937,2616,2428,188,509,203,0,0.0,0,0,0.0,0.0,203,100.0,0,0.0,0,0.0,27.44,126.286,41.797,90.004,1136.46,18.792,510.24,10.621,288.16,9.388,254.79,51.1,52.1,49.9,50.9,52.1,29.8,14.2,25.5,4595.0,4614,211
b1ca2e5d-84cf9134,ERD-only,0.6246715086807099,0.4042443820467282,0.960254787859114,0.34602797189599954,3944,2902,2554,348,1390,203,0,0.0,0,0,0.0,0.0,203,100.0,0,0.0,0,0.0,27.53,126.604,38.304,89.286,1046.43,18.742,511.48,10.642,290.06,9.374,255.65,50.8,51.8,49.6,50.7,51.8,22.6,14.7,25.2,4592.0,4629,212
b1cac6a7-04e33135,ERD-only,0.7432606842451018,0.5788916731208538,0.9927531423970958,0.3904327756118691,1368,1080,1023,57,345,106,0,0.0,0,0,0.0,0.0,106,100.0,0,0.0,0,0.0,14.3,125.172,40.978,85.226,576.89,18.67,263.62,10.637,149.8,9.371,132.06,50.5,51.4,49.4,50.0,51.4,28.4,14.0,24.2,4617.0,4644,110
b1cd1e94-549d0bfe,ERD-only,0.6993964525464382,0.536815050144405,0.9856653757453001,0.3703400063174841,1763,1336,1249,87,514,201,2,0.99,2,0,0.99,0.0,201,99.01,0,0.0,0,0.0,26.56,122.48,43.382,91.272,1145.36,18.924,497.67,10.737,282.13,9.406,247.2,50.6,51.5,49.4,50.9,51.5,33.6,14.5,25.9,4619.0,4638,204
b1ceb32e-3f481b43,ERD-only,0.3385274356618405,0.248367197574197,0.9862517228374911,0.17958148721507497,715,262,245,17,470,83,55,39.86,55,0,39.86,0.0,83,60.14,0,0.0,0,0.0,13.31,91.308,40.785,83.36,532.7,16.147,210.58,10.976,143.11,8.898,116.0,50.1,51.2,49.5,51.1,51.2,25.8,17.9,20.9,4603.0,4628,102
b1ceb32e-51852abe,ERD-only,0.6413696294193754,0.49072586526245676,0.9908251085039611,0.33223416474597417,2164,1458,1400,58,764,203,0,0.0,0,0,0.0,0.0,203,100.0,0,0.0,0,0.0,27.73,127.147,44.717,89.78,1228.93,18.525,508.59,10.585,290.46,9.347,256.55,50.3,51.1,49.1,50.0,51.1,35.7,14.4,25.4,4615.0,4650,213
b1cebfb7-284f5117,ERD-only,0.5820503569737228,0.4583033653210081,0.9771597149501824,0.31131355264589833,1956,1259,1163,96,793,202,0,0.0,0,0,0.0,0.0,202,100.0,0,0.0,0,0.0,26.38,122.416,48.837,89.07,1278.88,19.031,496.75,10.758,280.59,9.497,247.77,50.3,51.2,49.1,50.3,51.2,43.5,14.6,25.7,4613.0,4648,201
b1d0091f-75824d0d,ERD-only,0.7623480712125452,0.6550688020230668,0.9949930073550657,0.390104823585543,1641,1290,1257,33,384,202,0,0.0,0,0,0.0,0.0,202,100.0,0,0.0,0,0.0,26.91,125.199,40.346,91.456,1078.1,18.898,503.84,10.639,283.37,9.363,249.44,50.1,51.0,48.9,49.4,51.0,27.3,14.1,25.9,4646.0,4673,207
b1d0091f-f2c2d2ae,ERD-only,0.600497580038492,0.4714761786304589,0.9801209936262036,0.3164527875266359,2451,1598,1500,98,951,202,0,0.0,0,0,0.0,0.0,202,100.0,0,0.0,0,0.0,27.02,124.52,40.54,89.02,1088.32,19.01,510.53,10.662,286.13,9.425,252.98,50.0,50.9,48.7,49.5,50.9,26.9,14.5,25.8,4650.0,4703,208
b1d0a191-03dcecc2,ERD-only,0.7196382612400586,0.536860233154367,0.9870882740316764,0.37719850991760984,3220,2481,2345,136,875,202,0,0.0,0,0,0.0,0.0,202,100.0,0,0.0,0,0.0,27.29,125.309,39.914,88.204,1083.15,18.79,508.83,10.54,285.07,9.367,253.44,49.8,50.7,48.6,49.3,50.7,26.5,14.4,25.3,4676.0,4695,210
b1d0a191-06deb55d,ERD-only,0.5930000504375942,0.42831296221305326,0.9434972592446585,0.34367799946655203,2441,1817,1522,295,919,191,11,5.45,11,0,5.45,0.0,191,94.55,0,0.0,0,0.0,26.04,119.149,37.025,83.424,955.23,18.511,476.86,10.561,271.82,9.309,239.66,49.6,50.6,48.5,49.5,50.6,20.3,14.5,25.0,4690.0,4730,200
b1d0a191-28f0e779,ERD-only,0.7432940531764592,0.5844914860879047,0.9838247985861521,0.40589705193337683,1615,1348,1215,133,400,186,4,2.11,4,0,2.11,0.0,186,97.89,0,0.0,0,0.0,25.35,124.247,43.881,87.5,1101.44,18.737,470.44,10.563,264.82,9.357,234.7,49.7,50.6,48.5,49.4,50.6,34.1,14.8,25.1,4691.0,4719,196
b1d0a191-2ed2269e,ERD-only,0.7105267502152943,0.516019344076012,0.9796546085626581,0.3827712237985219,3126,2474,2261,213,865,202,1,0.49,1,0,0.49,0.0,202,99.51,0,0.0,0,0.0,27.8,126.425,43.292,91.014,1197.32,18.538,510.48,10.468,287.99,9.281,255.42,49.6,50.5,48.4,49.2,50.5,33.1,14.6,25.0,4690.0,4711,213
b1d0a191-5490450b,ERD-only,0.6924512834763464,0.5399958654147571,0.9665577358523814,0.3853326563993166,1778,1449,1266,183,512,204,0,0.0,0,0,0.0,0.0,204,100.0,0,0.0,0,0.0,27.62,125.912,40.29,87.4,1105.54,18.783,514.38,10.551,288.71,9.368,256.43,49.5,50.5,48.3,49.1,50.5,26.0,14.5,25.1,4698.0,4732,213
b1d0a191-65deaeef,ERD-only,0.7089218638993529,0.4991724156695742,0.9596941511454574,0.38816251775435445,3276,2695,2413,282,863,199,3,1.49,3,0,1.49,0.0,199,98.51,0,0.0,0,0.0,27.78,126.528,45.829,90.244,1263.84,18.38,506.56,10.406,286.5,9.264,255.15,49.5,50.3,48.2,49.2,50.3,38.4,14.5,24.5,4675.0,4702,213
