sequence,system,ap_50,ap_50_95,avg_precision,avg_recall,total_gt,total_preds,total_tp,total_fp,total_fn,infer_count,skip_count,skip_rate_pct,erd_empty_count,predict_count,erd_empty_rate_pct,predict_rate_pct,erd_infer_count,erd_infer_rate_pct,augmented_infer_count,augmented_infer_rate_pct,pure_infer_count,pure_infer_rate_pct,wall_duration_s,avg_frame_time_ms,avg_power_w,max_power_w,energy_j,avg_power_gpu_w,energy_gpu_j,avg_power_cpu_w,energy_cpu_j,avg_power_io_w,energy_io_j,avg_gpu_temp_c,max_gpu_temp_c,avg_cpu_temp_c,max_cpu_temp_c,max_tj_temp_c,avg_gpu_util_pct,avg_cpu_util_pct,avg_emc_util_pct,avg_ram_used_mb,max_ram_used_mb,n_tegrastats_samples
b1c66a42-6f7d68ca,FixedSkip-2,0.5971427451571084,0.38789780150900466,0.9349766534380848,0.3520783144752009,2612,2038,1647,391,965,101,101,50.0,0,101,0.0,50.0,0,0.0,0,0.0,101,50.0,8.37,31.074,58.514,95.392,471.63,26.659,215.68,11.761,94.85,10.898,87.92,52.3,53.6,50.4,51.4,53.5,56.3,5.2,27.7,5653.0,5670,65
b1c66a42-6f7d68ca,FixedSkip-3,0.4288392154119071,0.25563806974227765,0.8365252980610791,0.29387634476697105,2612,1995,1277,718,1335,68,134,66.34,0,134,0.0,66.34,0,0.0,0,0.0,68,33.66,5.74,20.7,54.457,94.078,294.64,25.449,138.89,11.466,62.29,10.597,57.65,52.9,53.9,51.1,51.9,53.9,49.0,4.9,27.7,5672.0,5672,43
b1c66a42-6f7d68ca,FixedSkip-5,0.2725027955348307,0.15255278007217915,0.6883098578345578,0.2265071857114454,2612,2018,901,1117,1711,41,161,79.7,0,161,0.0,79.7,0,0.0,0,0.0,41,20.3,3.87,12.652,53.229,95.986,189.66,22.555,80.81,10.964,39.1,10.047,35.9,52.7,53.5,51.1,51.7,53.5,47.5,4.9,24.6,5681.0,5682,28
b1c81faa-3df17267,FixedSkip-2,0.359303576627759,0.25073761736848615,0.978090912189736,0.19334880995311937,472,188,173,15,299,91,91,50.0,0,91,0.0,50.0,0,0.0,0,0.0,91,50.0,5.77,25.36,62.166,102.668,338.47,31.801,175.73,12.918,71.18,11.954,65.95,53.8,55.2,51.8,53.2,55.2,62.9,4.5,35.0,5682.0,5682,44
b1c81faa-3df17267,FixedSkip-3,0.30373925384227046,0.20273264169411834,0.9382795872428084,0.1867231638418079,472,195,149,46,323,61,121,66.48,0,121,0.0,66.48,0,0.0,0,0.0,61,33.52,3.99,16.588,35.17,84.88,133.3,30.938,116.54,12.773,48.0,11.744,44.18,54.1,54.4,52.3,52.7,54.4,27.1,4.6,35.2,5682.0,5682,30
b1c81faa-3df17267,FixedSkip-5,0.2083377822439462,0.12447385591079221,0.843677378893151,0.14377723970944312,472,175,110,65,362,37,145,79.67,0,145,0.0,79.67,0,0.0,0,0.0,37,20.33,2.67,10.22,61.445,92.924,150.17,28.038,69.35,12.305,30.33,11.208,27.67,54.3,54.9,52.5,52.7,54.8,59.5,4.5,31.1,5683.0,5683,20
b1c81faa-c80764c5,FixedSkip-2,0.441580991028432,0.29559940553444225,0.9779682336617627,0.23762590942111483,866,426,390,36,476,101,101,50.0,0,101,0.0,50.0,0,0.0,0,0.0,101,50.0,6.26,24.664,66.99,100.784,408.37,32.791,197.81,13.151,79.12,12.113,72.94,54.8,56.0,52.9,53.4,56.0,65.0,4.6,38.0,5684.0,5684,48
b1c81faa-c80764c5,FixedSkip-3,0.3981743494876172,0.2577924453331356,0.9453076608547561,0.22742062549912587,866,428,362,66,504,68,134,66.34,0,134,0.0,66.34,0,0.0,0,0.0,68,33.66,4.82,16.976,51.463,100.516,237.27,29.308,136.24,12.433,57.58,11.386,52.78,54.8,55.3,53.0,53.2,55.5,48.4,5.0,33.5,5684.0,5685,36
b1c81faa-c80764c5,FixedSkip-5,0.3101812106827403,0.1723366155497345,0.8685215295899359,0.20269865708664786,866,432,299,133,567,41,161,79.7,0,161,0.0,79.7,0,0.0,0,0.0,41,20.3,3.43,10.471,58.296,96.244,187.17,25.151,80.49,11.583,36.96,10.597,33.84,54.3,55.0,52.8,53.1,55.0,52.4,5.1,27.6,5683.0,5683,25
b1c9c847-3bda4659,FixedSkip-2,0.6042630911521936,0.3817737739844174,0.8972494504631262,0.37887397209902496,2937,2626,1928,698,1009,102,101,49.75,0,101,0.0,49.75,0,0.0,0,0.0,102,50.25,8.17,30.229,58.712,97.614,461.61,27.051,214.81,11.851,94.0,10.949,86.92,54.3,55.1,52.8,53.3,55.2,53.3,5.2,30.4,5684.0,5684,62
