sequence,system,ap_50,ap_50_95,avg_precision,avg_recall,total_gt,total_preds,total_tp,total_fp,total_fn,infer_count,skip_count,skip_rate_pct,erd_empty_count,predict_count,erd_empty_rate_pct,predict_rate_pct,erd_infer_count,erd_infer_rate_pct,augmented_infer_count,augmented_infer_rate_pct,pure_infer_count,pure_infer_rate_pct,wall_duration_s,avg_frame_time_ms,avg_power_w,max_power_w,energy_j,avg_power_gpu_w,energy_gpu_j,avg_power_cpu_w,energy_cpu_j,avg_power_io_w,energy_io_j,avg_gpu_temp_c,max_gpu_temp_c,avg_cpu_temp_c,max_cpu_temp_c,max_tj_temp_c,avg_gpu_util_pct,avg_cpu_util_pct,avg_emc_util_pct,avg_ram_used_mb,max_ram_used_mb,n_tegrastats_samples
b1c66a42-6f7d68ca,Statues-25,0.7163693923337391,0.5619804000621349,0.9901501589973639,0.3779037915534526,2612,2007,1887,120,725,202,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,202,100.0,15.46,65.92,61.638,97.028,942.58,28.739,438.42,12.105,184.38,11.237,171.24,53.1,55.0,51.2,52.6,55.0,61.6,4.9,31.5,4896.0,4944,120
b1c66a42-6f7d68ca,Statues-75,0.7174515047341867,0.5622487578510034,0.9900799395786065,0.3784267788164842,2612,2010,1890,120,722,200,2,0.99,0,2,0.0,0.99,0,0.0,0,0.0,200,99.01,13.71,57.639,49.555,99.05,662.47,30.778,413.5,12.619,169.22,11.488,154.11,54.8,55.7,52.9,53.6,55.7,46.7,4.8,35.3,4821.0,4844,106
b1c66a42-6f7d68ca,Statues-200,0.7159521372371347,0.5604936047672561,0.9895705194876055,0.37773961580935067,2612,2008,1887,121,725,198,4,1.98,0,4,0.0,1.98,0,0.0,0,0.0,198,98.02,13.24,56.131,37.143,100.86,475.94,31.476,407.92,12.782,165.37,11.581,149.9,55.4,56.3,53.5,54.0,56.3,31.4,4.9,36.4,4763.0,4785,101
b1c66a42-6f7d68ca,Statues-500,0.7080441753359308,0.555105463314606,0.9862415422292489,0.37537559602967513,2612,2006,1872,134,740,193,9,4.46,0,9,0.0,4.46,0,0.0,0,0.0,193,95.54,12.91,53.885,33.84,100.7,422.73,31.322,395.65,12.81,161.52,11.567,145.91,55.7,56.6,53.8,54.4,56.6,27.7,4.9,36.5,4748.0,4751,98
b1c81faa-3df17267,Statues-25,0.36604942310124505,0.29761259844023946,0.9923086663403364,0.19017464182039515,472,181,174,7,298,177,5,2.75,0,5,0.0,2.75,0,0.0,0,0.0,177,97.25,10.93,52.806,65.185,102.4,695.67,33.174,355.75,13.268,142.04,12.061,129.19,56.3,57.3,54.3,55.0,57.3,66.8,4.6,38.4,4748.0,4748,85
b1c81faa-3df17267,Statues-75,0.32370978226109204,0.25196409808014547,0.9340330577237481,0.17507599484156228,472,184,163,21,309,145,37,20.33,0,37,0.0,20.33,0,0.0,0,0.0,145,79.67,9.12,43.389,73.478,103.152,648.88,33.213,295.3,13.313,118.06,12.086,107.23,56.8,58.0,54.9,55.3,58.1,70.2,4.8,39.9,4748.0,4752,70
b1c81faa-3df17267,Statues-200,0.2521309321924054,0.20557231982487018,0.9909881233176037,0.13132203389830507,472,125,120,5,352,115,67,36.81,0,67,0.0,36.81,0,0.0,0,0.0,115,63.19,7.63,35.541,60.543,97.63,449.15,32.354,238.93,13.143,96.71,11.872,87.43,56.9,57.9,54.9,55.5,57.5,55.2,5.0,37.7,4740.0,4741,59
b1c81faa-3df17267,Statues-500,0.2521309321924054,0.20557231982487018,0.9909881233176037,0.13132203389830507,472,125,120,5,352,112,70,38.46,0,70,0.0,38.46,0,0.0,0,0.0,112,61.54,7.45,34.639,63.991,104.818,461.14,32.036,230.79,13.142,94.21,11.824,84.87,56.9,58.3,55.0,55.8,58.3,60.2,5.0,37.0,4735.0,4736,56
b1c81faa-c80764c5,Statues-25,0.48843355437191494,0.374216583771263,0.9973983447177083,0.24937196315517177,866,433,424,9,442,198,4,1.98,0,4,0.0,1.98,0,0.0,0,0.0,198,98.02,12.76,54.672,59.013,102.124,738.47,32.528,405.78,13.195,164.4,11.965,149.1,57.1,58.3,55.1,55.6,58.3,55.6,5.0,38.2,4729.0,4732,97
b1c81faa-c80764c5,Statues-75,0.4975505256072421,0.37177307760224165,0.9972115973899411,0.2538923190523322,866,441,432,9,434,192,10,4.95,0,10,0.0,4.95,0,0.0,0,0.0,192,95.05,12.35,52.847,74.301,103.322,901.6,32.74,398.45,13.293,161.55,12.052,146.53,57.6,59.0,55.4,55.7,59.0,74.4,4.9,38.4,4733.0,4736,97
